plate,compound,well,site,mean_C1,std_C1,median_C1,mad_C1,mean_C2,std_C2,median_C2,mad_C2,mean_C3,std_C3,median_C3,mad_C3,mean_C4,std_C4,median_C4,mad_C4,mean_C5,std_C5,median_C5,mad_C5
P015076,CBK200601,H08,s6,0.076054312414266120324,134.80660665460885639,-7.0,25.0,-2.3907225222908095041,727.37902339188019596,-29.0,80.0,0.007394332990397805422,298.27504397713056505,-14.0,65.0,0.028655049725651578901,429.4935131299597515,-19.0,62.0,0.13689407578875170679,329.16768940693924606,-18.0,47.0
P015076,CBK200601,H08,s8,0.075391375171467767125,142.79379043037224051,-7.0,26.0,-2.3510185185185186185,756.16276537294800164,-29.0,84.0,0.030462962962962962521,267.9408875006951689,-14.0,68.0,0.040262345679012344346,403.9462969024814356,-20.0,66.0,0.12708997770919067127,312.55060863080228728,-17.0,50.0
P015076,CBK200601,H08,all,0.109364883401920437445,149.9813913212027785,-9.0,28.0,-1.3032902949245541713,794.2609249606850881,-35.0,99.0,0.056924982853223594914,305.0023329036022801,-16.0,78.0,0.11193895747599451329,473.52430816655402168,-24.0,76.0,0.19520756172839506815,361.26170665868687593,-21.0,57.0
P015076,CBK200601,I03,s2,0.09561299725651577208,134.67687670407363498,-8.0,26.0,-0.67727709190672158446,740.2067471768405085,-29.0,78.0,0.027821716392318243671,279.73391962334000027,-14.0,70.0,0.06979788237311385091,437.74387557897983925,-20.0,73.0,0.16262881515775035046,350.7682790751924813,-18.0,50.0
P015076,CBK200601,I03,s4,0.09199545610425240161,148.48905787096842346,-8.0,27.0,-1.0812958676268862312,779.67680678021042695,-28.0,79.0,0.024269332990397806532,289.60948851721514075,-13.0,68.0,0.07351101680384088122,466.551129846620654,-19.0,73.0,0.15044517318244168824,363.8609801782538966,-18.0,52.0
P015076,CBK200601,I03,s5,0.12634387860082305077,145.57410209864517014,-9.0,28.0,-1.837431841563786028,668.4816228373380227,-28.0,80.0,0.08337941529492455539,274.1576450747427316,-12.0,72.0,0.17254672496570644391,446.09964122099881934,-19.0,76.0,0.2032259516460905302,339.66169275893872737,-19.0,54.0
P015076,CBK200601,I03,s6,0.0957193072702332004,139.98474044710104636,-8.0,27.0,-3.2988646690672154271,790.27568961720112384,-27.0,74.0,0.044830032578875168847,292.83766753439192598,-11.0,67.0,0.07918831447187928141,449.85269598587041173,-18.0,69.0,0.13901641803840877887,357.92069125874468227,-18.0,50.0
P015076,CBK200601,I03,s8,0.123215020576131692454,157.47697402222317464,-10.0,30.0,-4.719854466735253773,828.3240245916852018,-40.0,97.0,0.044494170096021946892,318.3855339983522299,-18.0,93.0,0.1353911608367626973,504.8138892011072585,-27.0,94.0,0.21740397805212618998,390.14382036655757702,-26.0,67.0
P015076,CBK200601,I03,all,0.10657733196159122069,145.44648957703230963,-9.0,28.0,-2.3229447873799724533,763.3265579314000888,-30.0,81.0,0.044958933470507542185,291.3452886050868642,-13.0,73.0,0.106087019890260633725,461.62735327565303578,-20.0,76.0,0.174544067215363502,360.8663715211743579,-20.0,54.0
P015076,CBK200601,M06,s2,0.118759002057613166636,145.30523070803033647,-8.0,27.0,-5.87346214849108339,958.62144501668728935,-30.0,79.0,0.06271669238683127978,313.11908996074970446,-14.0,72.0,0.1338310185185185297,469.08165936451007383,-20.0,73.0,0.18096064814814813437,371.28449587003052557,-20.0,51.0
P015076,CBK200601,M06,s4,0.16210519547325102918,210.14534315182746127,-9.0,29.0,-2.4238256601508916255,748.52471512057468317,-32.0,87.0,0.034326131687242800172,291.3466424355308959,-14.0,82.0,0.06807634602194786999,467.26536826551387094,-23.0,83.0,0.13137688614540465881,371.16644625285039183,-21.0,59.0
P015076,CBK200601,M06,s5,0.12012281378600822568,137.93572945136489238,-7.0,27.0,-1.3609535751028807304,662.80177011687896993,-22.0,66.0,0.10538065843621399753,269.34021940246054783,-10.0,64.0,0.21248413923182440932,435.06598149634521633,-16.0,67.0,0.26446609224965705875,344.16982164348939932,-16.0,47.0
