plate,well,site,bf_site,nuclei_count
P015077,J20,s4,s2,302
P015077,J20,s5,s3,236
P015077,J20,s6,s4,177
P015077,J20,s8,s5,228
P015077,K12,s2,s1,243
P015077,K12,s4,s2,207
P015077,K12,s5,s3,159
P015077,K12,s6,s4,260
P015077,K12,s8,s5,183
P015077,K14,s2,s1,239
P015077,K14,s4,s2,205
P015077,K14,s5,s3,232
P015077,K14,s6,s4,205
P015077,K14,s8,s5,234
P015077,O15,s2,s1,236
P015077,O15,s4,s2,72
P015077,O15,s5,s3,85
P015077,O15,s6,s4,89
P015077,O15,s8,s5,86
P015077,O17,s2,s1,277
P015077,O17,s4,s2,120
P015077,O17,s5,s3,149
P015077,O17,s6,s4,153
P015077,O17,s8,s5,97
P015077,B21,s2,s1,89
P015077,B21,s4,s2,177
P015077,B21,s5,s3,109
P015077,B21,s6,s4,75
P015077,B21,s8,s5,288
P015077,C13,s2,s1,112
P015077,C13,s4,s2,150
P015077,C13,s5,s3,133
P015077,C13,s6,s4,155
P015077,C13,s8,s5,306
P015077,F11,s2,s1,243
P015077,F11,s4,s2,238
P015077,F11,s5,s3,254
P015077,F11,s6,s4,223
P015077,F11,s8,s5,190
P015077,F20,s2,s1,227
P015077,F20,s4,s2,251
P015077,F20,s5,s3,192
P015077,F20,s6,s4,179
P015077,F20,s8,s5,232
P015077,M04,s2,s1,316
P015077,M04,s4,s2,175
P015077,M04,s5,s3,184
P015077,M04,s6,s4,291
P015077,M04,s8,s5,78
P015077,O16,s2,s1,354
P015077,O16,s4,s2,127
P015077,O16,s5,s3,100
P015077,O16,s6,s4,153
P015077,O16,s8,s5,82
P015077,C07,s2,s1,32
P015077,C07,s4,s2,36
P015077,C07,s5,s3,67
P015077,C07,s6,s4,49
P015077,C07,s8,s5,84
P015077,M12,s2,s1,93
P015077,M12,s4,s2,46
P015077,M12,s5,s3,69
P015077,M12,s6,s4,63
P015077,M12,s8,s5,36
P015077,N15,s2,s1,96
P015077,N15,s4,s2,34
P015077,N15,s5,s3,38
P015077,N15,s6,s4,60
P015077,N15,s8,s5,38
P015077,G06,s2,s1,198
P015077,G06,s4,s2,227
P015077,G06,s5,s3,252
P015077,G06,s6,s4,223
P015077,G06,s8,s5,263
P015077,L19,s2,s1,378
P015077,L19,s4,s2,199
P015077,L19,s5,s3,193
P015077,L19,s6,s4,177
P015077,L19,s8,s5,132
P015082,I17,s2,s1,21
P015082,I17,s4,s2,10
P015082,I17,s5,s3,9
P015082,I17,s6,s4,19
P015082,I17,s8,s5,12
P015082,L07,s2,s1,7
P015082,L07,s4,s2,9
P015082,L07,s5,s3,8
P015082,L07,s6,s4,20
P015082,L07,s8,s5,7
P015082,O22,s2,s1,9
P015082,O22,s4,s2,16
P015082,O22,s5,s3,6
P015082,O22,s6,s4,11
P015082,O22,s8,s5,17
P015082,B20,s2,s1,92
P015082,B20,s4,s2,124
P015082,B20,s5,s3,80
P015082,B20,s6,s4,159
P015082,B20,s8,s5,166
P015082,G16,s2,s1,131
P015082,G16,s4,s2,148
P015082,G16,s5,s3,128
P015082,G16,s6,s4,137
P015082,G16,s8,s5,142
P015082,I21,s2,s1,184
P015082,I21,s4,s2,136
P015082,I21,s5,s3,156
P015082,I21,s6,s4,134
P015082,I21,s8,s5,119
P015082,M13,s2,s1,130
P015082,M13,s4,s2,91
P015082,M13,s5,s3,119
P015082,M13,s6,s4,143
P015082,M13,s8,s5,125
P015082,O19,s2,s1,111
P015082,O19,s4,s2,86
P015082,O19,s5,s3,104
P015082,O19,s6,s4,115
P015082,O19,s8,s5,83
P015082,E12,s2,s1,108
P015082,E12,s4,s2,129
P015082,E12,s5,s3,135
P015082,E12,s6,s4,166
P015082,E12,s8,s5,123
P015082,E08,s2,s1,0
P015082,E08,s4,s2,0
P015082,E08,s5,s3,0
P015082,E08,s6,s4,0
P015082,E08,s8,s5,21
P015082,L20,s2,s1,2
P015082,L20,s4,s2,0
P015082,L20,s5,s3,10
P015082,L20,s6,s4,0
P015082,L20,s8,s5,4
P015082,M05,s2,s1,0
P015082,M05,s4,s2,0
P015082,M05,s5,s3,1
P015082,M05,s6,s4,0
P015082,M05,s8,s5,0
P015082,C22,s2,s1,102
P015082,C22,s4,s2,139
P015082,C22,s5,s3,132
P015082,C22,s6,s4,113
P015082,C22,s8,s5,218
P015082,H23,s2,s1,114
P015082,H23,s4,s2,195
P015082,H23,s5,s3,159
P015082,H23,s6,s4,165
P015082,H23,s8,s5,120
P015084,B02,s2,s1,34
P015084,B02,s4,s2,69
P015084,B02,s5,s3,38
P015084,B02,s6,s4,57
P015084,B02,s8,s5,68
P015084,B05,s2,s1,77
P015084,B05,s4,s2,66
P015084,B05,s5,s3,87
P015084,B05,s6,s4,102
P015084,B05,s8,s5,146
P015084,B06,s2,s1,0
P015084,B06,s4,s2,0
P015084,B06,s5,s3,0
P015084,B06,s6,s4,0
P015084,B06,s8,s5,0
P015084,B12,s2,s1,77
P015084,B12,s4,s2,99
P015084,B12,s5,s3,130
P015084,B12,s6,s4,102
P015084,B12,s8,s5,147
P015084,B14,s2,s1,112
P015084,B14,s4,s2,110
P015084,B14,s5,s3,169
P015084,B14,s6,s4,141
P015084,B14,s8,s5,164
P015084,B15,s2,s1,0
P015084,B15,s4,s2,0
P015084,B15,s5,s3,2
P015084,B15,s6,s4,0
P015084,B15,s8,s5,0
P015084,C02,s2,s1,0
P015084,C02,s4,s2,0
P015084,C02,s5,s3,0
P015084,C02,s6,s4,1
P015084,C02,s8,s5,3
P015084,C03,s2,s1,78
P015084,C03,s4,s2,55
P015084,C03,s5,s3,78
P015084,C03,s6,s4,81
P015084,C03,s8,s5,72
P015084,C08,s2,s1,82
P015084,C08,s4,s2,83
P015084,C08,s5,s3,115
P015084,C08,s6,s4,132
P015084,C08,s8,s5,162
P015084,C10,s2,s1,95
P015084,C10,s4,s2,70
P015084,C10,s5,s3,112
P015084,C10,s6,s4,77
P015084,C10,s8,s5,102
P015084,C16,s2,s1,49
P015084,C16,s4,s2,68
P015084,C16,s5,s3,38
P015084,C16,s6,s4,45
P015084,C16,s8,s5,45
P015084,C19,s2,s1,0
P015084,C19,s4,s2,0
P015084,C19,s5,s3,0
P015084,C19,s6,s4,0
P015084,C19,s8,s5,0
P015084,C21,s2,s1,39
P015084,C21,s4,s2,39
P015084,C21,s5,s3,28
P015084,C21,s6,s4,26
P015084,C21,s8,s5,52
P015084,D02,s2,s1,0
P015084,D02,s4,s2,0
P015084,D02,s5,s3,0
P015084,D02,s6,s4,2
P015084,D02,s8,s5,0
P015084,D03,s2,s1,0
P015084,D03,s4,s2,0
P015084,D03,s5,s3,0
P015084,D03,s6,s4,0
P015084,D03,s8,s5,0
P015084,D05,s2,s1,117
P015084,D05,s4,s2,114
P015084,D05,s5,s3,96
P015084,D05,s6,s4,139
P015084,D05,s8,s5,118
P015084,D06,s2,s1,132
P015084,D06,s4,s2,140
P015084,D06,s5,s3,167
P015084,D06,s6,s4,138
P015084,D06,s8,s5,154
P015084,D07,s2,s1,95
P015084,D07,s4,s2,111
P015084,D07,s5,s3,124
P015084,D07,s6,s4,106
P015084,D07,s8,s5,176
P015084,D08,s2,s1,133
P015084,D08,s4,s2,135
P015084,D08,s5,s3,187
P015084,D08,s6,s4,138
P015084,D08,s8,s5,131
P015084,D13,s2,s1,95
P015084,D13,s4,s2,110
P015084,D13,s5,s3,83
P015084,D13,s6,s4,91
P015084,D13,s8,s5,108
P015084,D18,s2,s1,0
P015084,D18,s4,s2,19
P015084,D18,s5,s3,8
P015084,D18,s6,s4,0
P015084,D18,s8,s5,1
P015084,D19,s2,s1,38
P015084,D19,s4,s2,62
P015084,D19,s5,s3,49
P015084,D19,s6,s4,46
P015084,D19,s8,s5,61
P015084,D21,s2,s1,50
P015084,D21,s4,s2,67
P015084,D21,s5,s3,41
P015084,D21,s6,s4,42
P015084,D21,s8,s5,75
P015084,E04,s2,s1,96
P015084,E04,s4,s2,115
P015084,E04,s5,s3,82
P015084,E04,s6,s4,99
P015084,E04,s8,s5,83
P015084,E08,s2,s1,168
P015084,E08,s4,s2,131
P015084,E08,s5,s3,156
P015084,E08,s6,s4,170
P015084,E08,s8,s5,177
P015084,E22,s2,s1,96
P015084,E22,s4,s2,116
P015084,E22,s5,s3,95
P015084,E22,s6,s4,62
P015084,E22,s8,s5,96
P015084,F07,s2,s1,17
P015084,F07,s4,s2,0
P015084,F07,s5,s3,18
P015084,F07,s6,s4,0
P015084,F07,s8,s5,25
P015084,F15,s2,s1,0
P015084,F15,s4,s2,0
P015084,F15,s5,s3,0
P015084,F15,s6,s4,0
P015084,F15,s8,s5,0
P015084,F16,s2,s1,142
P015084,F16,s4,s2,157
P015084,F16,s5,s3,132
P015084,F16,s6,s4,112
P015084,F16,s8,s5,172
P015084,F19,s2,s1,152
P015084,F19,s4,s2,170
P015084,F19,s5,s3,163
P015084,F19,s6,s4,131
P015084,F19,s8,s5,112
P015084,G10,s2,s1,43
P015084,G10,s4,s2,37
P015084,G10,s5,s3,51
P015084,G10,s6,s4,61
P015084,G10,s8,s5,52
P015084,G11,s2,s1,110
P015084,G11,s4,s2,150
P015084,G11,s5,s3,203
P015084,G11,s6,s4,161
P015084,G11,s8,s5,129
P015084,G12,s2,s1,151
P015084,G12,s4,s2,139
P015084,G12,s5,s3,140
P015084,G12,s6,s4,115
P015084,G12,s8,s5,157
P015084,G20,s2,s1,62
P015084,G20,s4,s2,81
P015084,G20,s5,s3,84
P015084,G20,s6,s4,48
P015084,G20,s8,s5,66
P015084,G23,s2,s1,0
P015084,G23,s4,s2,0
P015084,G23,s5,s3,1
P015084,G23,s6,s4,12
P015084,G23,s8,s5,1
P015084,H06,s2,s1,87
P015084,H06,s4,s2,86
P015084,H06,s5,s3,80
P015084,H06,s6,s4,126
P015084,H06,s8,s5,115
P015084,H10,s2,s1,0
P015084,H10,s4,s2,23
P015084,H10,s5,s3,15
P015084,H10,s6,s4,14
P015084,H10,s8,s5,1
P015084,H18,s2,s1,95
P015084,H18,s4,s2,140
P015084,H18,s5,s3,124
P015084,H18,s6,s4,93
P015084,H18,s8,s5,117
P015084,H19,s2,s1,66
P015084,H19,s4,s2,67
P015084,H19,s5,s3,67
P015084,H19,s6,s4,39
P015084,H19,s8,s5,53
P015084,H22,s2,s1,0
P015084,H22,s4,s2,16
P015084,H22,s5,s3,0
P015084,H22,s6,s4,1
P015084,H22,s8,s5,0
P015084,I03,s2,s1,49
P015084,I03,s4,s2,29
P015084,I03,s5,s3,37
P015084,I03,s6,s4,72
P015084,I03,s8,s5,41
P015084,I08,s2,s1,13
P015084,I08,s4,s2,11
P015084,I08,s5,s3,25
P015084,I08,s6,s4,28
P015084,I08,s8,s5,27
P015084,I10,s2,s1,118
P015084,I10,s4,s2,62
P015084,I10,s5,s3,94
P015084,I10,s6,s4,105
P015084,I10,s8,s5,164
P015084,I17,s2,s1,82
P015084,I17,s4,s2,98
P015084,I17,s5,s3,95
P015084,I17,s6,s4,81
P015084,I17,s8,s5,119
P015084,I19,s2,s1,89
P015084,I19,s4,s2,116
P015084,I19,s5,s3,98
P015084,I19,s6,s4,107
P015084,I19,s8,s5,128
P015084,J03,s2,s1,43
P015084,J03,s4,s2,33
P015084,J03,s5,s3,52
P015084,J03,s6,s4,129
P015084,J03,s8,s5,47
P015084,J05,s2,s1,62
P015084,J05,s4,s2,75
P015084,J05,s5,s3,61
P015084,J05,s6,s4,68
P015084,J05,s8,s5,60
P015084,J11,s2,s1,165
P015084,J11,s4,s2,109
P015084,J11,s5,s3,160
P015084,J11,s6,s4,120
P015084,J11,s8,s5,116
P015084,J14,s2,s1,143
P015084,J14,s4,s2,180
P015084,J14,s5,s3,168
P015084,J14,s6,s4,134
P015084,J14,s8,s5,176
P015084,J20,s2,s1,80
P015084,J20,s4,s2,136
P015084,J20,s5,s3,85
P015084,J20,s6,s4,57
P015084,J20,s8,s5,103
P015084,J21,s2,s1,123
P015084,J21,s4,s2,123
P015084,J21,s5,s3,78
P015084,J21,s6,s4,106
P015084,J21,s8,s5,132
P015084,J23,s2,s1,0
P015084,J23,s4,s2,8
P015084,J23,s5,s3,0
P015084,J23,s6,s4,1
P015084,J23,s8,s5,0
P015084,K06,s2,s1,201
P015084,K06,s4,s2,109
P015084,K06,s5,s3,100
P015084,K06,s6,s4,175
P015084,K06,s8,s5,134
P015084,K14,s2,s1,144
P015084,K14,s4,s2,132
P015084,K14,s5,s3,171
P015084,K14,s6,s4,200
P015084,K14,s8,s5,164
P015084,K15,s2,s1,98
P015084,K15,s4,s2,124
P015084,K15,s5,s3,124
P015084,K15,s6,s4,128
P015084,K15,s8,s5,105
P015084,K18,s2,s1,0
P015084,K18,s4,s2,0
P015084,K18,s5,s3,1
P015084,K18,s6,s4,0
P015084,K18,s8,s5,0
P015084,L02,s2,s1,82
P015084,L02,s4,s2,110
P015084,L02,s5,s3,98
P015084,L02,s6,s4,158
P015084,L02,s8,s5,68
P015084,L07,s2,s1,165
P015084,L07,s4,s2,124
P015084,L07,s5,s3,116
P015084,L07,s6,s4,148
P015084,L07,s8,s5,103
P015084,L13,s2,s1,160
P015084,L13,s4,s2,133
P015084,L13,s5,s3,134
P015084,L13,s6,s4,106
P015084,L13,s8,s5,121
P015084,L15,s2,s1,155
P015084,L15,s4,s2,143
P015084,L15,s5,s3,121
P015084,L15,s6,s4,157
P015084,L15,s8,s5,143
P015084,L23,s2,s1,72
P015084,L23,s4,s2,93
P015084,L23,s5,s3,71
P015084,L23,s6,s4,50
P015084,L23,s8,s5,45
P015084,M02,s2,s1,155
P015084,M02,s4,s2,162
P015084,M02,s5,s3,112
P015084,M02,s6,s4,129
P015084,M02,s8,s5,91
P015084,M04,s2,s1,43
P015084,M04,s4,s2,45
P015084,M04,s5,s3,42
P015084,M04,s6,s4,60
P015084,M04,s8,s5,53
P015084,M09,s2,s1,61
P015084,M09,s4,s2,26
P015084,M09,s5,s3,26
P015084,M09,s6,s4,41
P015084,M09,s8,s5,25
P015084,M11,s2,s1,136
P015084,M11,s4,s2,108
P015084,M11,s5,s3,77
P015084,M11,s6,s4,81
P015084,M11,s8,s5,75
P015084,M14,s2,s1,15
P015084,M14,s4,s2,1
P015084,M14,s5,s3,1
P015084,M14,s6,s4,1
P015084,M14,s8,s5,2
P015084,M17,s2,s1,1
P015084,M17,s4,s2,0
P015084,M17,s5,s3,0
P015084,M17,s6,s4,0
P015084,M17,s8,s5,0
P015084,M19,s2,s1,15
P015084,M19,s4,s2,1
P015084,M19,s5,s3,1
P015084,M19,s6,s4,0
P015084,M19,s8,s5,0
P015084,M23,s2,s1,75
P015084,M23,s4,s2,112
P015084,M23,s5,s3,47
P015084,M23,s6,s4,71
P015084,M23,s8,s5,67
P015084,N11,s2,s1,139
P015084,N11,s4,s2,98
P015084,N11,s5,s3,107
P015084,N11,s6,s4,104
P015084,N11,s8,s5,47
P015084,N21,s2,s1,0
P015084,N21,s4,s2,0
P015084,N21,s5,s3,0
P015084,N21,s6,s4,0
P015084,N21,s8,s5,1
P015084,O02,s2,s1,107
P015084,O02,s4,s2,93
P015084,O02,s5,s3,65
P015084,O02,s6,s4,78
P015084,O02,s8,s5,90
P015084,O03,s2,s1,53
P015084,O03,s4,s2,20
P015084,O03,s5,s3,27
P015084,O03,s6,s4,50
P015084,O03,s8,s5,22
P015084,O04,s2,s1,128
P015084,O04,s4,s2,62
P015084,O04,s5,s3,90
P015084,O04,s6,s4,98
P015084,O04,s8,s5,86
P015084,O07,s2,s1,69
P015084,O07,s4,s2,58
P015084,O07,s5,s3,91
P015084,O07,s6,s4,90
P015084,O07,s8,s5,107
P015084,O10,s2,s1,0
P015084,O10,s4,s2,0
P015084,O10,s5,s3,0
P015084,O10,s6,s4,0
P015084,O10,s8,s5,0
P015084,O14,s2,s1,52
P015084,O14,s4,s2,36
P015084,O14,s5,s3,49
P015084,O14,s6,s4,47
P015084,O14,s8,s5,40
P015084,O15,s2,s1,26
P015084,O15,s4,s2,67
P015084,O15,s5,s3,44
P015084,O15,s6,s4,36
P015084,O15,s8,s5,44
P015084,F08,s2,s1,116
P015084,F08,s4,s2,171
P015084,F08,s5,s3,119
P015084,F08,s6,s4,160
P015084,F08,s8,s5,142
P015084,G22,s2,s1,115
P015084,G22,s4,s2,188
P015084,G22,s5,s3,145
P015084,G22,s6,s4,109
P015084,G22,s8,s5,118
P015084,H12,s2,s1,142
P015084,H12,s4,s2,113
P015084,H12,s5,s3,151
P015084,H12,s6,s4,173
P015084,H12,s8,s5,181
P015084,K07,s2,s1,125
P015084,K07,s4,s2,130
P015084,K07,s5,s3,119
P015084,K07,s6,s4,139
P015084,K07,s8,s5,84
P015084,O06,s2,s1,174
P015084,O06,s4,s2,87
P015084,O06,s5,s3,113
P015084,O06,s6,s4,145
P015084,O06,s8,s5,70
P015084,B17,s2,s1,1
P015084,B17,s4,s2,36
P015084,B17,s5,s3,0
P015084,B17,s6,s4,0
P015084,B17,s8,s5,36
P015084,C07,s2,s1,64
P015084,C07,s4,s2,65
P015084,C07,s5,s3,93
P015084,C07,s6,s4,71
P015084,C07,s8,s5,82
P015084,D22,s2,s1,1
P015084,D22,s4,s2,0
P015084,D22,s5,s3,1
P015084,D22,s6,s4,0
P015084,D22,s8,s5,0
P015084,F11,s2,s1,136
P015084,F11,s4,s2,152
P015084,F11,s5,s3,167
P015084,F11,s6,s4,100
P015084,F11,s8,s5,200
P015084,F17,s2,s1,151
P015084,F17,s4,s2,181
P015084,F17,s5,s3,166
P015084,F17,s6,s4,111
P015084,F17,s8,s5,136
P015084,F21,s2,s1,0
P015084,F21,s4,s2,0
P015084,F21,s5,s3,0
P015084,F21,s6,s4,0
P015084,F21,s8,s5,0
P015084,F23,s2,s1,67
P015084,F23,s4,s2,98
P015084,F23,s5,s3,72
P015084,F23,s6,s4,79
P015084,F23,s8,s5,57
P015084,G17,s2,s1,0
P015084,G17,s4,s2,1
P015084,G17,s5,s3,0
P015084,G17,s6,s4,0
P015084,G17,s8,s5,1
P015084,G19,s2,s1,0
P015084,G19,s4,s2,0
P015084,G19,s5,s3,0
P015084,G19,s6,s4,12
P015084,G19,s8,s5,0
P015084,H03,s2,s1,56
P015084,H03,s4,s2,72
P015084,H03,s5,s3,81
P015084,H03,s6,s4,82
P015084,H03,s8,s5,66
P015084,H15,s2,s1,0
P015084,H15,s4,s2,33
P015084,H15,s5,s3,0
P015084,H15,s6,s4,0
P015084,H15,s8,s5,0
P015084,J16,s2,s1,171
P015084,J16,s4,s2,144
P015084,J16,s5,s3,115
P015084,J16,s6,s4,105
P015084,J16,s8,s5,82
P015084,L19,s2,s1,135
P015084,L19,s4,s2,121
P015084,L19,s5,s3,134
P015084,L19,s6,s4,90
P015084,L19,s8,s5,89
P015084,M22,s2,s1,0
P015084,M22,s4,s2,0
P015084,M22,s5,s3,0
P015084,M22,s6,s4,0
P015084,M22,s8,s5,1
P015084,N05,s2,s1,0
P015084,N05,s4,s2,0
P015084,N05,s5,s3,0
P015084,N05,s6,s4,0
P015084,N05,s8,s5,0
P015084,N06,s2,s1,0
P015084,N06,s4,s2,0
P015084,N06,s5,s3,0
P015084,N06,s6,s4,0
P015084,N06,s8,s5,0
P015084,N22,s2,s1,121
P015084,N22,s4,s2,129
P015084,N22,s5,s3,116
P015084,N22,s6,s4,79
P015084,N22,s8,s5,65
P015084,O12,s2,s1,139
P015084,O12,s4,s2,93
P015084,O12,s5,s3,83
P015084,O12,s6,s4,101
P015084,O12,s8,s5,74
P015084,F13,s2,s1,182
P015084,F13,s4,s2,136
P015084,F13,s5,s3,183
P015084,F13,s6,s4,191
P015084,F13,s8,s5,164
P015084,B03,s2,s1,33
P015084,B03,s4,s2,54
P015084,B03,s5,s3,56
P015084,B03,s6,s4,77
P015084,B03,s8,s5,79
P015084,B23,s2,s1,120
P015084,B23,s4,s2,108
P015084,B23,s5,s3,81
P015084,B23,s6,s4,64
P015084,B23,s8,s5,127
P015084,C13,s2,s1,45
P015084,C13,s4,s2,29
P015084,C13,s5,s3,31
P015084,C13,s6,s4,52
P015084,C13,s8,s5,67
P015084,C17,s2,s1,35
P015084,C17,s4,s2,62
P015084,C17,s5,s3,62
P015084,C17,s6,s4,62
P015084,C17,s8,s5,92
P015084,D10,s2,s1,87
P015084,D10,s4,s2,82
P015084,D10,s5,s3,126
P015084,D10,s6,s4,104
P015084,D10,s8,s5,183
P015084,F03,s2,s1,76
P015084,F03,s4,s2,59
P015084,F03,s5,s3,79
P015084,F03,s6,s4,151
P015084,F03,s8,s5,94
P015084,F05,s2,s1,122
P015084,F05,s4,s2,106
P015084,F05,s5,s3,151
P015084,F05,s6,s4,132
P015084,F05,s8,s5,130
P015084,F12,s2,s1,154
P015084,F12,s4,s2,87
P015084,F12,s5,s3,139
P015084,F12,s6,s4,124
P015084,F12,s8,s5,171
P015084,G05,s2,s1,131
P015084,G05,s4,s2,116
P015084,G05,s5,s3,152
P015084,G05,s6,s4,134
P015084,G05,s8,s5,140
P015084,G08,s2,s1,84
P015084,G08,s4,s2,44
P015084,G08,s5,s3,75
P015084,G08,s6,s4,125
P015084,G08,s8,s5,122
P015084,H16,s2,s1,145
P015084,H16,s4,s2,185
P015084,H16,s5,s3,151
P015084,H16,s6,s4,146
P015084,H16,s8,s5,137
P015084,I12,s2,s1,39
P015084,I12,s4,s2,37
P015084,I12,s5,s3,38
P015084,I12,s6,s4,37
P015084,I12,s8,s5,38
P015084,I21,s2,s1,105
P015084,I21,s4,s2,162
P015084,I21,s5,s3,128
P015084,I21,s6,s4,89
P015084,I21,s8,s5,104
P015084,J10,s2,s1,118
P015084,J10,s4,s2,169
P015084,J10,s5,s3,133
P015084,J10,s6,s4,103
P015084,J10,s8,s5,146
P015084,J18,s2,s1,33
P015084,J18,s4,s2,48
P015084,J18,s5,s3,47
P015084,J18,s6,s4,43
P015084,J18,s8,s5,52
P015084,K04,s2,s1,96
P015084,K04,s4,s2,88
P015084,K04,s5,s3,135
P015084,K04,s6,s4,187
P015084,K04,s8,s5,125
P015084,L18,s2,s1,174
P015084,L18,s4,s2,145
P015084,L18,s5,s3,129
P015084,L18,s6,s4,106
P015084,L18,s8,s5,100
P015084,L22,s2,s1,87
P015084,L22,s4,s2,67
P015084,L22,s5,s3,65
P015084,L22,s6,s4,61
P015084,L22,s8,s5,49
P015084,M10,s2,s1,120
P015084,M10,s4,s2,64
P015084,M10,s5,s3,80
P015084,M10,s6,s4,71
P015084,M10,s8,s5,68
P015084,N02,s2,s1,94
P015084,N02,s4,s2,101
P015084,N02,s5,s3,110
P015084,N02,s6,s4,121
P015084,N02,s8,s5,55
P015084,O21,s2,s1,71
P015084,O21,s4,s2,142
P015084,O21,s5,s3,67
P015084,O21,s6,s4,51
P015084,O21,s8,s5,103
P015084,G15,s2,s1,131
P015084,G15,s4,s2,187
P015084,G15,s5,s3,188
P015084,G15,s6,s4,191
P015084,G15,s8,s5,170
P015084,L14,s2,s1,194
P015084,L14,s4,s2,118
P015084,L14,s5,s3,165
P015084,L14,s6,s4,113
P015084,L14,s8,s5,149
P015085,B03,s2,s1,97
P015085,B03,s4,s2,82
P015085,B03,s5,s3,126
P015085,B03,s6,s4,145
P015085,B03,s8,s5,90
P015085,B08,s2,s1,106
P015085,B08,s4,s2,107
P015085,B08,s5,s3,118
P015085,B08,s6,s4,123
P015085,B08,s8,s5,191
P015085,B10,s2,s1,105
P015085,B10,s4,s2,91
P015085,B10,s5,s3,89
P015085,B10,s6,s4,129
P015085,B10,s8,s5,274
P015085,B12,s2,s1,71
P015085,B12,s4,s2,90
P015085,B12,s5,s3,95
P015085,B12,s6,s4,119
P015085,B12,s8,s5,218
P015085,B15,s2,s1,1
P015085,B15,s4,s2,0
P015085,B15,s5,s3,0
P015085,B15,s6,s4,0
P015085,B15,s8,s5,0
P015085,B16,s2,s1,114
P015085,B16,s4,s2,159
P015085,B16,s5,s3,159
P015085,B16,s6,s4,102
P015085,B16,s8,s5,330
P015085,B19,s2,s1,35
P015085,B19,s4,s2,49
P015085,B19,s5,s3,55
P015085,B19,s6,s4,46
P015085,B19,s8,s5,112
P015085,B22,s2,s1,0
P015085,B22,s4,s2,24
P015085,B22,s5,s3,11
P015085,B22,s6,s4,1
P015085,B22,s8,s5,25
P015085,C02,s2,s1,0
P015085,C02,s4,s2,35
P015085,C02,s5,s3,4
P015085,C02,s6,s4,24
P015085,C02,s8,s5,25
P015085,C11,s2,s1,68
P015085,C11,s4,s2,93
P015085,C11,s5,s3,79
P015085,C11,s6,s4,30
P015085,C11,s8,s5,111
P015085,D06,s2,s1,111
P015085,D06,s4,s2,166
P015085,D06,s5,s3,159
P015085,D06,s6,s4,99
P015085,D06,s8,s5,222
P015085,D08,s2,s1,0
P015085,D08,s4,s2,32
P015085,D08,s5,s3,29
P015085,D08,s6,s4,30
P015085,D08,s8,s5,34
P015085,D14,s2,s1,8
P015085,D14,s4,s2,27
P015085,D14,s5,s3,20
P015085,D14,s6,s4,23
P015085,D14,s8,s5,45
P015085,E02,s2,s1,47
P015085,E02,s4,s2,173
P015085,E02,s5,s3,92
P015085,E02,s6,s4,99
P015085,E02,s8,s5,158
P015085,E04,s2,s1,62
P015085,E04,s4,s2,117
P015085,E04,s5,s3,98
P015085,E04,s6,s4,129
P015085,E04,s8,s5,159
P015085,E05,s2,s1,81
P015085,E05,s4,s2,131
P015085,E05,s5,s3,75
P015085,E05,s6,s4,123
P015085,E05,s8,s5,161
P015085,E11,s2,s1,99
P015085,E11,s4,s2,169
P015085,E11,s5,s3,140
P015085,E11,s6,s4,154
P015085,E11,s8,s5,179
P015085,E12,s2,s1,68
P015085,E12,s4,s2,61
P015085,E12,s5,s3,79
P015085,E12,s6,s4,59
P015085,E12,s8,s5,98
P015085,E13,s2,s1,162
P015085,E13,s4,s2,156
P015085,E13,s5,s3,145
P015085,E13,s6,s4,150
P015085,E13,s8,s5,232
P015085,E16,s2,s1,28
P015085,E16,s4,s2,6
P015085,E16,s5,s3,22
P015085,E16,s6,s4,6
P015085,E16,s8,s5,34
P015085,E17,s2,s1,136
P015085,E17,s4,s2,165
P015085,E17,s5,s3,174
P015085,E17,s6,s4,146
P015085,E17,s8,s5,214
P015085,E22,s2,s1,0
P015085,E22,s4,s2,0
P015085,E22,s5,s3,0
P015085,E22,s6,s4,0
P015085,E22,s8,s5,0
P015085,F05,s2,s1,63
P015085,F05,s4,s2,42
P015085,F05,s5,s3,69
P015085,F05,s6,s4,64
P015085,F05,s8,s5,70
P015085,F10,s2,s1,0
P015085,F10,s4,s2,0
P015085,F10,s5,s3,0
P015085,F10,s6,s4,0
P015085,F10,s8,s5,0
P015085,F11,s2,s1,161
P015085,F11,s4,s2,182
P015085,F11,s5,s3,167
P015085,F11,s6,s4,144
P015085,F11,s8,s5,212
P015085,F14,s2,s1,157
P015085,F14,s4,s2,192
P015085,F14,s5,s3,204
P015085,F14,s6,s4,148
P015085,F14,s8,s5,151
P015085,F21,s2,s1,147
P015085,F21,s4,s2,245
P015085,F21,s5,s3,129
P015085,F21,s6,s4,144
P015085,F21,s8,s5,217
P015085,F22,s2,s1,87
P015085,F22,s4,s2,121
P015085,F22,s5,s3,106
P015085,F22,s6,s4,70
P015085,F22,s8,s5,101
P015085,F23,s2,s1,133
P015085,F23,s4,s2,204
P015085,F23,s5,s3,206
P015085,F23,s6,s4,126
P015085,F23,s8,s5,182
P015085,G03,s2,s1,1
P015085,G03,s4,s2,0
P015085,G03,s5,s3,0
P015085,G03,s6,s4,25
P015085,G03,s8,s5,20
P015085,G06,s2,s1,81
P015085,G06,s4,s2,98
P015085,G06,s5,s3,100
P015085,G06,s6,s4,103
P015085,G06,s8,s5,95
P015085,G10,s2,s1,49
P015085,G10,s4,s2,74
P015085,G10,s5,s3,67
