plate,compound,well,mean_C1,std_C1,median_C1,mad_C1,mean_C2,std_C2,median_C2,mad_C2,mean_C3,std_C3,median_C3,mad_C3,mean_C4,std_C4,median_C4,mad_C4,mean_C5,std_C5,median_C5,mad_C5,mean_C6,std_C6,median_C6,mad_C6
P015077,CBK041182,all,11741.88954876829,1192.2064316905921,11920.0,893.0,11741.062639360425,1188.6181956319779,11917.0,893.0,11739.998445430385,1187.1212635956645,11918.0,892.0,11738.437715520691,1187.56678914813,11917.0,891.0,11737.272835119456,1189.2056458509103,11915.0,891.0,11742.847623613969,1198.297741972416,11919.0,895.0
P015077,CBK200601,E12,10606.985373028121,679.1155583908636,10689.0,453.0,10606.834611496914,670.9927751513371,10690.0,448.0,10605.333652434841,663.8018376088355,10685.0,445.0,10604.733462234224,668.6722628739224,10679.0,447.0,10603.986787465707,676.4507378458808,10675.0,450.0,10603.369828232167,678.7806975196048,10674.0,452.0
P015077,CBK200601,H22,11771.275495198903,691.4043516627181,11880.0,467.0,11787.500056027093,714.6569090184811,11861.0,504.0,11783.965825231482,705.292004655468,11852.0,501.0,11781.643679998286,704.0866289514121,11848.0,501.0,11775.783555984224,707.8649747184207,11843.0,501.0,11772.735975094307,709.4450738317373,11839.0,499.0
P015077,CBK200601,O17,9425.854031978737,547.3544523759339,9476.0,380.0,9431.544813786008,542.1945945308132,9488.0,377.0,9424.935617241084,535.7415926243689,9474.0,379.0,9433.251908307613,544.2874094174017,9474.0,384.0,9450.184422453704,556.5189812883149,9480.0,389.0,9445.356299854253,542.5798784858945,9474.0,378.0
P015077,CBK200601,all,10601.371633401921,1153.1670892023474,10592.0,909.0,10608.626493770005,1159.0525079040958,10594.0,900.0,10604.745031635803,1155.7971313237697,10594.0,902.0,10606.543016846708,1154.2076977533823,10591.0,899.0,10609.984921967878,1150.7434453524306,10590.0,895.0,10607.154034393576,1149.9011594236767,10586.0,899.0
P015077,CBK201029,D16,12978.014380486968,775.1470132125994,13001.0,527.0,12996.918459147806,773.4345524786289,13022.0,536.0,12977.081973079561,758.264052724011,12996.0,519.0,12975.288748371056,763.274805683869,12990.0,521.0,12975.021491255144,770.9855904996106,12988.0,525.0,12973.64382874657,772.8268836758562,12987.0,525.0
P015077,CBK201029,K12,11057.486429526749,643.8788725905678,11085.0,446.0,11056.385700188615,635.5793753257307,11088.0,441.0,11056.131723851166,624.6825615805124,11083.0,435.0,11055.153296767832,626.6800761663225,11075.0,434.0,11054.654458676268,635.7325933570318,11072.0,437.0,11053.933610768176,640.5781674568609,11073.0,439.0
P015077,CBK201029,O15,14017.300996527778,765.6024794973341,14006.0,546.0,14013.66511505487,753.7386168879095,14002.0,537.0,14012.98537598594,748.4867950218079,13998.0,531.0,14012.112285365227,751.6714900119293,13993.0,534.0,14025.218504801098,771.3220718691146,13996.0,548.0,14039.000506987311,788.0238811760174,14000.0,560.0
P015077,CBK201029,all,12684.267268847165,1427.265711676724,12875.0,1127.0,12688.98975813043,1424.2266846791629,12893.0,1126.0,12682.066357638889,1417.447028853916,12879.0,1124.0,12680.851443501371,1419.174595275271,12874.0,1124.0,12684.96481824417,1429.6662939265482,12871.0,1126.0,12688.859315500686,1438.2337471110093,12871.0,1127.0
P015077,CBK277913,I13,11673.58445417524,758.5610650491885,11664.0,548.0,11674.274412165638,743.480831311279,11663.0,543.0,11672.090521947874,732.7012509024071,11655.0,542.0,11671.082247470851,738.6946127541542,11649.0,545.0,11669.032745541837,746.5880984324214,11648.0,546.0,11668.052701860424,747.2522864700235,11648.0,545.0
P015077,CBK277913,J20,12992.20098709705,772.0371490716085,13009.0,477.0,12990.739797753773,747.0948373357414,13005.0,466.0,12991.000942644034,735.7738668275492,12997.0,461.0,12997.957213605967,749.4125624968843,13006.0,468.0,12988.598275334361,760.4002481492402,12988.0,472.0,12994.316689857682,766.7567253988548,12990.0,475.0
P015077,CBK277913,K14,11644.074461934157,830.2473742644909,11653.0,546.0,11637.308397076475,811.556948601188,11648.0,539.0,11620.785377957818,786.8144718098356,11635.0,528.0,11589.418024477023,761.6691254344048,11611.0,520.0,11585.748202846366,768.9067112220259,11607.0,523.0,11585.452648062414,771.0562125477157,11606.0,523.0
P015077,CBK277913,all,12103.28663440215,1007.712832919145,12082.0,713.0,12100.774202331962,993.0224079397595,12081.0,705.0,12094.625614183242,983.8428943585483,12076.0,697.0,12086.152495184613,989.5866251187794,12063.0,692.0,12081.12640790752,994.2410504921784,12057.0,692.0,12082.607346593508,998.5091908814175,12055.0,693.0
P015077,dmso,B21,10267.671749271261,683.9130462589799,10329.0,552.0,10267.13098345336,677.0913847374833,10328.0,553.0,10267.066777306241,671.5446698679285,10332.0,552.0,10265.91064420439,673.341016818931,10332.0,550.0,10274.57370739026,667.5795206355605,10331.0,541.0,10265.187334447874,679.0727197469355,10328.0,550.0
P015077,dmso,D22,9092.891154535322,604.2954066280912,9179.0,443.0,9111.04671231996,613.24630329018,9188.0,463.0,9095.640985896776,595.4626783590513,9178.0,443.0,9091.233883616254,595.2686704498867,9173.0,440.0,9090.601869984568,599.4518352920069,9170.0,442.0,9090.024353737997,600.2680499574566,9169.0,442.0
P015077,dmso,E08,10116.603686213992,686.3457172980077,10052.0,489.0,10111.253078789437,685.4695995429912,10043.0,490.0,10108.105061556927,683.1958486705357,10034.0,489.0,10107.47099691358,685.903896683021,10032.0,492.0,10106.576462962963,688.987791136886,10034.0,494.0,10106.02286351166,689.8772598389486,10035.0,494.0
P015077,dmso,E14,10548.765222693759,418.591193712081,10571.0,275.0,10548.247362011316,402.2023289169741,10571.0,267.0,10547.895461162552,402.38486971862307,10566.0,267.0,10546.833167266805,413.50392365811933,10561.0,272.0,10545.936590963649,421.0363235806441,10559.0,275.0,10555.592707647462,425.1836181784224,10569.0,279.0
P015077,dmso,F11,10868.883155907064,599.8256726699726,10936.0,405.0,10863.292919795953,586.557354105289,10934.0,394.0,10852.734142061043,577.9805134685404,10912.0,396.0,10850.870071159123,581.2864364900959,10906.0,399.0,10850.311490526406,590.2698386686278,10904.0,402.0,10849.424122427983,593.605347995865,10903.0,403.0
P015077,dmso,F20,10662.658806112826,694.8344876693486,10775.0,513.0,10660.252057227366,681.8087781439635,10774.0,507.0,10658.836192858367,674.4211269839398,10767.0,504.0,10657.073120070301,679.5421958537073,10758.0,507.0,10664.53360455247,688.0359564219091,10758.0,514.0,10656.163279621056,690.7586412709786,10747.0,519.0
P015077,dmso,G06,13099.857200231481,639.8435984518039,13108.0,437.0,13099.423104938272,636.3947376319921,13112.0,433.0,13097.07789463306,630.0830200304102,13105.0,429.0,13096.346561814129,630.4105469274108,13097.0,430.0,13096.31602859225,638.0450519276684,13095.0,435.0,13094.468973851166,642.1966838179626,13094.0,436.0
P015077,dmso,H09,11745.108274605624,632.5838092769143,11735.0,453.0,11743.43636183985,621.9239988464283,11729.0,449.0,11744.130871870713,612.812990186879,11728.0,446.0,11743.50411839849,613.8689700014895,11727.0,444.0,11742.858705075445,619.6215397004266,11727.0,443.0,11744.522439300412,626.5666857148667,11728.0,447.0
P015077,dmso,H23,11305.107226680384,763.9387824076598,11343.0,578.0,11287.349413708847,743.8088753789225,11331.0,556.0,11296.062214163238,745.1922023039399,11337.0,565.0,11295.680056627229,745.6104413064727,11333.0,563.0,11292.691776834705,748.2451372757548,11330.0,559.0,11289.930530564128,750.1105370408169,11326.0,559.0
P015077,dmso,I05,12169.843736153978,821.8812602677388,12184.0,641.0,12167.811853480796,808.1703695283705,12184.0,636.0,12165.799985339507,795.7812380041905,12171.0,633.0,12163.586358110426,797.3106880961082,12162.0,633.0,12161.713750214334,804.9654757245354,12161.0,635.0,12160.149559885116,807.7979971325797,12162.0,634.0
P015077,dmso,I12,12382.429802854938,757.1784693887115,12371.0,520.0,12390.990279535323,750.2287526114785,12387.0,519.0,12401.905695558984,741.5211249397039,12400.0,509.0,12393.194955032579,754.1782553751437,12392.0,521.0,12390.657866683814,760.141762399183,12384.0,524.0,12383.58322813786,760.2934456651464,12372.0,519.0
P015077,dmso,J15,12130.816670524691,885.8515792623562,12239.0,618.0,12129.817026020233,873.0728458429506,12238.0,614.0,12129.27169393004,865.3023286954381,12237.0,613.0,12128.317956189987,870.5010675778657,12232.0,615.0,12127.593516889574,878.3697718045278,12227.0,617.0,12127.117541409465,879.5495336925253,12225.0,617.0
P015077,dmso,K10,9579.69917279664,611.017510910784,9665.0,430.0,9578.646612182785,602.4618593430042,9666.0,423.0,9577.15555101166,594.5635963563377,9660.0,424.0,9577.96987920096,594.570240027935,9653.0,427.0,9576.029134773662,603.2356109395877,9651.0,430.0,9575.066102966392,605.0427184204382,9651.0,429.0
P015077,dmso,L17,12540.137844650206,885.8290258961271,12635.0,697.0,12520.443181027093,857.8883009387667,12615.0,683.0,12518.884316272291,847.8320839672461,12610.0,680.0,12521.298698473936,853.4203415145269,12613.0,681.0,12516.099026406037,859.8747818360024,12604.0,681.0,12515.149066358024,864.0107862705318,12603.0,682.0
P015077,dmso,L19,10943.431419453018,806.554039216483,10972.0,622.0,10941.307294753087,796.4851255607981,10971.0,620.0,10940.7102135631,791.4842908335604,10969.0,611.0,10940.817508144719,794.1471274062238,10961.0,609.0,10943.73589026063,806.235393791987,10958.0,617.0,10948.134248628257,812.1370260495017,10958.0,623.0
P015077,dmso,M04,15462.817344264404,1105.4277407617856,15284.0,764.0,15462.343719221537,1093.0248628108448,15278.0,756.0,15461.669232981825,1089.1466854836933,15278.0,747.0,15459.054092335391,1096.5842184042563,15275.0,748.0,15457.946533264747,1105.4959224980566,15271.0,752.0,15456.834178326475,1108.3852448584732,15269.0,755.0
P015077,dmso,N07,10902.294993098423,570.3389732389561,10903.0,426.0,10900.646527006173,561.5478532439945,10900.0,425.0,10899.320339334705,554.0896180082656,10896.0,420.0,10897.54016786694,557.8557740795754,10890.0,418.0,10895.377990054869,565.6332342821742,10885.0,420.0,10894.362636145404,568.8630395034006,10884.0,423.0
P015077,dmso,O02,17213.652478952332,1158.6049859509938,17043.0,714.0,17186.384560056584,1147.225433926807,17016.0,707.0,17159.856606524347,1135.6248462609901,16981.0,701.0,17136.217717506857,1133.488376418821,16950.0,700.0,17112.067707904665,1133.6672355919527,16926.0,701.0,17090.357924982854,1132.1130230035387,16907.0,702.0
P015077,dmso,O16,10260.27669225823,649.4861042811572,10355.0,433.0,10259.118733839163,647.196324126693,10354.0,428.0,10258.001633316186,643.4037774783785,10346.0,427.0,10257.382978223593,644.531031945605,10339.0,432.0,10256.07715076303,649.987635421371,10336.0,434.0,10255.19817866941,652.895170425528,10337.0,434.0
P015077,dmso,all,11646.997191118873,2068.4964164504763,11192.0,1060.0,11643.628514800375,2060.08640065562,11188.0,1055.0,11641.059203649556,2055.248422992654,11186.0,1057.0,11638.436996376615,2053.093028600454,11184.0,1057.0,11636.931516005163,2051.2503796876877,11184.0,1057.0,11634.594172137842,2049.2897510583853,11184.0,1058.0
P015080,CBK200949,D16,11841.205543938615,624.9270697325408,11914.0,432.0,11840.633028335047,615.0337534710247,11911.0,430.0,11840.205989583334,601.6337021407062,11908.0,428.0,11838.822241683813,602.0734016431139,11904.0,427.0,11837.799691186558,608.8698027399793,11901.0,428.0,11837.64017588306,612.8792337147767,11901.0,429.0
P015080,CBK200949,M23,10937.94549339849,855.2037462709422,11008.0,612.0,10939.522720078876,849.0972463163396,11011.0,606.0,10935.789794581618,848.6288704027525,11007.0,602.0,10934.272722136488,847.7329682086279,11001.0,603.0,10932.685051054526,847.7281573900802,10997.0,607.0,10932.472433341907,848.8352840960033,10998.0,608.0
P015080,CBK200949,N04,11034.612582861797,622.9285246963017,11086.0,438.0,11051.698693372771,619.4373788267444,11105.0,432.0,11050.030979981138,614.3085773378333,11099.0,432.0,11041.383056412895,616.2961577940131,11085.0,439.0,11038.459291495199,620.4777760844297,11080.0,442.0,11030.32950784465,618.3446257655337,11074.0,438.0
P015080,CBK200949,all,11271.2545400663,816.8814112864271,11315.0,550.0,11277.284813928898,809.3760680101058,11322.0,541.0,11275.342254715364,805.1172134328515,11317.0,538.0,11271.492673411065,806.1213909568886,11311.0,544.0,11269.648011245428,809.1449660465818,11309.0,547.0,11266.814039023206,810.7700233228705,11306.0,547.0
P015080,dmso,B02,12259.18651204561,865.8314037722987,12152.0,595.0,12258.937873842593,861.9395280923131,12152.0,595.0,12257.783366469479,853.6571062023788,12149.0,593.0,12258.023535279492,852.5830664121182,12146.0,588.0,12257.62705941358,857.9333826137223,12143.0,587.0,12257.082287079904,861.6850219028287,12142.0,589.0
P015080,dmso,B18,9197.795712748628,488.3262406596073,9196.0,361.0,9197.288789694787,480.100567914433,9194.0,359.0,9196.11714013203,477.5835898241436,9191.0,358.0,9196.64897869513,480.2080290344395,9188.0,356.0,9204.663066915295,474.67715114448737,9189.0,347.0,9199.313119770233,478.47532034008356,9187.0,352.0
P015080,dmso,E05,13200.871673868312,657.3366649039805,13193.0,466.0,13195.58784949417,651.0343097764857,13186.0,459.0,13187.181658564814,647.7288113355456,13177.0,456.0,13181.702371699246,648.1504699736851,13170.0,456.0,13184.262738683128,654.4369603343905,13173.0,462.0,13182.586879115226,656.7733641663419,13171.0,462.0
P015080,dmso,E17,9912.938406550069,854.2748289861742,9915.0,671.0,9912.589711291152,850.2673488199391,9916.0,669.0,9912.828073259601,848.2633481819666,9912.0,667.0,9912.399024562757,851.2918136248285,9908.0,666.0,9911.59580015432,854.1595520169251,9907.0,666.0,9910.263142318245,855.469145866431,9908.0,666.0
P015080,dmso,F09,10819.469001200274,620.9422873508352,10863.0,414.0,10814.250529535322,621.0474368605853,10859.0,415.0,10812.511533693416,615.9914733223831,10854.0,411.0,10810.947235811043,616.9201577349685,10850.0,411.0,10807.695056370027,623.64446405838,10847.0,416.0,10804.587173868313,627.3214364704479,10844.0,419.0
P015080,dmso,I16,12444.395062585734,711.3452827328355,12481.0,488.0,12443.86499678498,703.0362136451429,12478.0,486.0,12445.697220807613,694.0605781305603,12479.0,482.0,12472.891562800069,722.0199361146642,12493.0,488.0,12476.6757292524,731.8746800598669,12496.0,491.0,12470.605468192729,731.1708740791014,12489.0,492.0
P015080,dmso,J13,11304.579313357339,865.9499018862239,11445.0,596.0,11286.829101637517,851.2417699364261,11428.0,591.0,11279.89351697531,850.0348415330664,11416.0,590.0,11273.807394590192,856.4949595800823,11404.0,593.0,11267.875802983539,860.8204309947782,11397.0,596.0,11261.434150420097,861.3721730592586,11393.0,596.0
P015080,dmso,L06,11912.5088384345,677.5153863364554,11930.0,525.0,11909.874001971879,669.8284870018249,11932.0,526.0,11910.695942086762,666.4001087882036,11931.0,525.0,11912.81068917181,668.754965628411,11930.0,522.0,11910.694741383744,672.1400332784577,11923.0,521.0,11906.381252957819,672.0680502875424,11918.0,522.0
