plate,compound,mean_C1,std_C1,median_C1,mad_C1,mean_C2,std_C2,median_C2,mad_C2,mean_C3,std_C3,median_C3,mad_C3,mean_C4,std_C4,median_C4,mad_C4,mean_C5,std_C5,median_C5,mad_C5,mean_C6,std_C6,median_C6,mad_C6
P015085,CBK303888,11876.129,1817.903,11793.0,1498.0,11871.916,1814.6101,11790.0,1489.0,11871.222,1812.9613,11790.0,1488.0,11869.675,1812.9509,11789.0,1490.0,11869.164,1813.4446,11788.0,1491.0,11868.094,1813.497,11787.0,1491.0
P015085,CBK308101,11595.393,1524.8104,11677.0,1231.0,11593.516,1524.1947,11678.0,1230.0,11592.107,1522.385,11675.0,1230.0,11591.275,1522.8693,11671.0,1230.0,11589.916,1523.9106,11668.0,1230.0,11588.93,1524.1238,11667.0,1230.0
P015085,CBK308652,11509.379,1024.9237,11473.0,615.0,11509.984,1019.00867,11473.0,612.0,11508.434,1016.6067,11469.0,611.0,11507.42,1018.34393,11466.0,611.0,11506.172,1021.3366,11465.0,613.0,11510.947,1017.61005,11470.0,611.0
P015085,CBK308709,10907.789,904.483,10831.0,616.0,10908.351,901.37537,10829.0,613.0,10905.0205,894.9634,10825.0,614.0,10909.022,895.67804,10830.0,622.0,10904.159,894.4722,10828.0,622.0,10904.368,898.42975,10828.0,623.0
P015085,CBK308864,9819.51,725.80975,9834.0,491.0,9818.121,721.95135,9833.0,489.0,9818.548,717.85706,9833.0,486.0,9816.31,717.8385,9828.0,487.0,9816.651,719.9704,9828.0,489.0,9816.389,719.605,9828.0,488.0
P015085,CBK308980,11750.832,853.1599,11787.0,540.0,11749.362,845.261,11784.0,535.0,11748.148,838.6745,11778.0,535.0,11755.639,846.80365,11781.0,544.0,11751.753,849.4631,11777.0,544.0,11745.265,847.0232,11772.0,541.0
P015085,CBK309086,9992.401,838.678,9908.0,546.0,9989.966,834.40393,9902.0,543.0,9987.765,832.1308,9897.0,544.0,9985.254,834.7518,9894.0,546.0,9983.7705,838.13336,9892.0,548.0,9982.191,839.59186,9890.0,548.0
P015085,CBK309507,10594.275,1376.2053,10495.0,1101.0,10596.172,1376.473,10495.0,1105.0,10592.035,1367.9078,10495.0,1107.0,10583.777,1358.2974,10494.0,1104.0,10582.556,1360.6776,10493.0,1105.0,10581.849,1361.5427,10492.0,1105.0
P015085,CBK309653,11430.864,1499.2925,11867.0,967.0,11428.197,1494.0776,11861.0,965.0,11429.534,1486.5602,11860.0,956.0,11432.024,1482.9945,11858.0,954.0,11428.364,1489.188,11854.0,959.0,11424.957,1493.8501,11851.0,962.0
P015085,dmso,10653.228,1065.9338,10682.0,774.0,10652.766,1061.8435,10681.0,771.0,10652.075,1059.1471,10680.0,767.0,10650.441,1059.9401,10678.0,766.0,10648.971,1062.115,10676.0,768.0,10647.5,1062.9089,10673.0,769.0
P015085,plate,11093.894,1474.8448,10976.0,995.0,11092.324,1470.7023,10975.0,993.0,11091.014,1468.4625,10974.0,992.0,11090.329,1468.4932,10973.0,992.0,11088.291,1469.5776,10972.0,992.0,11087.759,1469.4966,10971.0,993.0
P015090,CBK041242,11899.695,1366.6553,11987.0,864.0,11898.783,1363.5634,11988.0,860.0,11897.555,1362.177,11987.0,858.0,11896.437,1363.7041,11983.0,859.0,11896.269,1365.7054,11981.0,861.0,11895.533,1365.864,11980.0,862.0
P015090,CBK041487,14734.381,1359.5488,14549.0,971.0,14730.747,1348.3601,14546.0,969.0,14727.482,1343.0999,14542.0,964.0,14724.696,1345.9977,14539.0,964.0,14721.631,1348.5894,14536.0,966.0,14718.1045,1346.9612,14533.0,966.0
P015090,CBK201016,10532.527,921.2316,10408.0,658.0,10531.306,917.0374,10406.0,656.0,10529.633,914.1022,10402.0,652.0,10528.328,914.45074,10401.0,652.0,10526.863,915.66797,10400.0,654.0,10525.691,915.9329,10400.0,654.0
P015090,CBK261295,11826.227,1248.274,12057.0,988.0,11825.404,1245.4983,12058.0,985.0,11824.605,1242.5555,12058.0,981.0,11824.227,1243.1042,12057.0,980.0,11822.737,1244.9167,12055.0,981.0,11822.01,1245.5098,12055.0,981.0
P015090,CBK277934,11332.538,1012.1835,11346.0,729.0,11329.727,1008.7925,11344.0,725.0,11327.072,1004.5567,11341.0,724.0,11324.247,1002.73035,11338.0,723.0,11321.785,1002.5704,11337.0,723.0,11319.214,1001.6041,11335.0,721.0
P015090,CBK277935,11280.162,1546.2938,11461.0,1229.0,11278.877,1543.9895,11462.0,1226.0,11277.972,1542.0365,11460.0,1225.0,11276.854,1542.353,11457.0,1225.0,11275.888,1542.7443,11456.0,1225.0,11274.809,1542.9146,11456.0,1224.0
P015090,CBK277939,10961.409,1917.3756,10229.0,1050.0,10960.571,1915.3635,10226.0,1046.0,10965.659,1913.5767,10237.0,1061.0,10966.664,1913.3728,10241.0,1068.0,10965.554,1913.5905,10241.0,1071.0,10964.852,1913.333,10240.0,1070.0
P015090,CBK277957,11760.325,1010.3812,11718.0,601.0,11758.7,1005.9014,11716.0,599.0,11757.16,1003.64905,11713.0,597.0,11755.242,1004.1984,11710.0,597.0,11753.431,1004.6581,11708.0,597.0,11751.77,1004.3088,11706.0,597.0
P015090,CBK277961,9741.821,1328.8491,9524.0,1003.0,9741.226,1326.9062,9522.0,1002.0,9740.184,1325.1737,9520.0,1003.0,9739.914,1326.6187,9517.0,1004.0,9738.9375,1327.2019,9516.0,1004.0,9738.33,1327.2412,9515.0,1004.0
P015090,CBK277968,12027.33,1989.6703,11477.0,887.0,12026.53,1986.5298,11475.0,885.0,12024.002,1980.8674,11472.0,882.0,12022.592,1979.7762,11471.0,883.0,12021.459,1981.097,11471.0,885.0,12020.963,1982.1211,11470.0,886.0
P015090,CBK277973,10426.216,883.36725,10375.0,531.0,10425.365,880.282,10373.0,528.0,10424.429,876.86365,10371.0,525.0,10423.666,876.90485,10370.0,526.0,10423.303,878.01514,10370.0,528.0,10422.218,878.48047,10369.0,528.0
P015090,CBK277990,9627.207,1209.4454,9367.0,770.0,9625.488,1209.0034,9365.0,770.0,9624.489,1208.056,9363.0,770.0,9623.714,1208.1605,9360.0,770.0,9623.114,1208.3915,9360.0,771.0,9622.316,1208.8456,9360.0,772.0
P015090,CBK278016,10546.842,820.5071,10615.0,562.0,10546.239,816.2945,10615.0,559.0,10545.321,813.0867,10613.0,556.0,10544.646,814.5095,10611.0,557.0,10543.748,816.7043,10609.0,558.0,10543.41,817.49713,10609.0,559.0
P015090,CBK278021,12296.364,3248.9883,11126.0,1687.0,12295.368,3247.4043,11125.0,1683.0,12294.392,3246.1753,11120.0,1679.0,12293.352,3246.5208,11117.0,1682.0,12293.03,3246.7834,11115.0,1680.0,12292.05,3247.5132,11114.0,1682.0
P015090,CBK278039,11023.42,1327.56,10646.0,874.0,11022.211,1326.4171,10643.0,871.0,11021.97,1325.8533,10642.0,871.0,11021.255,1325.7837,10642.0,873.0,11020.603,1326.3274,10641.0,874.0,11019.673,1326.2576,10639.0,873.0
P015090,CBK278047,10830.386,1314.9692,10950.0,1015.0,10829.646,1310.275,10952.0,1012.0,10828.534,1306.4224,10951.0,1007.0,10827.272,1307.7046,10946.0,1007.0,10826.276,1310.2571,10942.0,1009.0,10825.07,1310.594,10940.0,1010.0
P015090,CBK278050,11744.134,1358.1726,12073.0,1041.0,11743.141,1354.7737,12073.0,1035.0,11742.8955,1352.2451,12075.0,1028.0,11742.192,1353.4355,12074.0,1026.0,11741.142,1355.6276,12071.0,1028.0,11740.635,1356.5374,12070.0,1029.0
P015090,CBK278067,9346.579,717.5872,9405.0,489.0,9345.539,713.67126,9404.0,487.0,9344.836,711.47424,9401.0,486.0,9344.215,712.5271,9400.0,486.0,9343.446,714.35474,9399.0,487.0,9342.658,714.41046,9398.0,487.0
P015090,CBK278556G,9947.955,1096.2731,9928.0,775.0,9947.31,1093.5907,9929.0,773.0,9946.354,1091.4337,9929.0,772.0,9945.569,1092.8665,9926.0,773.0,9944.764,1094.5801,9925.0,774.0,9943.835,1094.9889,9924.0,775.0
P015090,CBK288302,11202.045,881.64734,11258.0,552.0,11201.687,875.2054,11258.0,548.0,11200.858,872.9368,11257.0,547.0,11200.397,875.80835,11255.0,549.0,11199.981,879.20874,11253.0,551.0,11199.176,879.4785,11252.0,552.0
P015090,CBK289731,10200.249,663.35376,10253.0,468.0,10199.479,660.13763,10251.0,466.0,10198.849,658.4662,10250.0,465.0,10197.952,659.21564,10249.0,465.0,10197.473,660.6901,10248.0,465.0,10196.903,661.15424,10246.0,465.0
P015090,CBK289737,11762.58,2315.236,11146.0,1665.0,11761.93,2313.0369,11144.0,1660.0,11761.056,2312.1284,11140.0,1659.0,11760.108,2313.2678,11138.0,1663.0,11759.1,2314.9668,11137.0,1666.0,11758.822,2315.3381,11137.0,1666.0
P015090,CBK289739,10670.819,1448.4594,11058.0,1026.0,10669.807,1444.9745,11060.0,1017.0,10669.469,1443.9927,11058.0,1014.0,10668.359,1445.4828,11054.0,1015.0,10667.488,1447.2764,11052.0,1017.0,10666.862,1447.2537,11052.0,1018.0
P015090,CBK289740,10795.302,1394.6545,10480.0,823.0,10793.891,1392.6733,10478.0,821.0,10793.246,1390.9281,10477.0,821.0,10792.513,1391.3735,10475.0,823.0,10791.765,1391.8657,10475.0,824.0,10791.439,1392.0369,10475.0,824.0
P015090,CBK289756,11463.539,791.4084,11362.0,525.0,11462.562,787.86414,11361.0,524.0,11461.494,783.5957,11357.0,523.0,11460.208,783.0925,11355.0,522.0,11459.49,785.04193,11355.0,523.0,11458.32,785.44867,11355.0,523.0
P015090,CBK289839,11526.1455,1669.0493,10998.0,1053.0,11525.5,1665.871,10996.0,1050.0,11524.821,1664.4889,10992.0,1051.0,11524.1455,1666.043,10991.0,1054.0,11523.832,1668.0637,10990.0,1055.0,11523.1045,1668.2664,10989.0,1054.0
P015090,CBK290181,11974.591,1265.7892,11631.0,692.0,11973.842,1262.0515,11629.0,690.0,11972.896,1258.7246,11626.0,689.0,11971.472,1258.5165,11626.0,689.0,11970.735,1260.8438,11626.0,691.0,11968.902,1261.5319,11625.0,691.0
P015090,CBK290285,10733.312,1119.8867,10536.0,726.0,10732.978,1116.4525,10535.0,723.0,10731.954,1112.9773,10531.0,722.0,10731.13,1113.9692,10529.0,723.0,10730.165,1116.364,10529.0,725.0,10729.431,1117.7438,10529.0,726.0
P015090,CBK290479,11253.971,1165.1218,11406.0,889.0,11253.015,1163.1082,11405.0,889.0,11252.001,1162.0366,11404.0,887.0,11250.722,1162.5358,11402.0,885.0,11249.72,1163.2302,11402.0,884.0,11248.972,1162.9166,11401.0,884.0
P015090,CBK290481,11671.813,686.6334,11680.0,491.0,11670.486,682.9165,11679.0,489.0,11669.787,679.5497,11676.0,488.0,11673.724,683.98944,11677.0,490.0,11674.459,687.38086,11677.0,491.0,11673.347,688.36633,11677.0,490.0
P015090,CBK290547,10607.831,1180.5952,10797.0,905.0,10606.547,1177.0566,10801.0,902.0,10605.832,1173.9902,10804.0,898.0,10605.135,1174.8041,10800.0,899.0,10603.878,1176.6143,10795.0,899.0,10602.997,1177.6643,10794.0,900.0
P015090,CBK290573,11725.077,1047.6965,11735.0,764.0,11724.375,1044.4935,11734.0,764.0,11723.389,1042.343,11732.0,763.0,11721.859,1043.172,11731.0,763.0,11720.788,1044.9615,11730.0,763.0,11719.903,1045.543,11728.0,763.0
P015090,CBK290613,10279.331,878.68604,10358.0,641.0,10278.379,873.8982,10357.0,638.0,10277.491,872.08936,10356.0,638.0,10276.8545,873.941,10354.0,639.0,10275.716,876.13904,10351.0,641.0,10274.578,876.3256,10349.0,641.0
P015090,CBK290753,10531.763,1734.5629,10891.0,1424.0,10530.96,1732.0237,10891.0,1419.0,10530.108,1730.1394,10890.0,1415.0,10535.798,1731.1246,10907.0,1401.0,10537.009,1731.6761,10912.0,1398.0,10536.3955,1731.7817,10911.0,1399.0
P015090,CBK290760,12174.066,1323.5212,12412.0,930.0,12172.723,1320.6663,12412.0,929.0,12171.579,1317.6195,12412.0,923.0,12170.539,1317.681,12411.0,921.0,12169.339,1318.8127,12409.0,923.0,12168.248,1319.1766,12407.0,925.0
P015090,CBK290799,11904.483,1615.8745,11542.0,1146.0,11903.736,1611.9304,11542.0,1146.0,11902.704,1609.3007,11540.0,1148.0,11902.224,1609.3158,11538.0,1147.0,11901.298,1610.7568,11536.0,1146.0,11900.668,1611.1283,11535.0,1145.0
P015090,CBK290803,12896.622,2155.088,13495.0,1619.0,12895.724,2152.8809,13497.0,1612.0,12894.932,2150.3704,13499.0,1603.0,12894.121,2149.9722,13496.0,1603.0,12893.494,2151.8613,13494.0,1606.0,12892.724,2152.042,13492.0,1607.0
P015090,CBK290810,10523.45,1734.3135,11028.0,1173.0,10522.726,1731.8792,11032.0,1161.0,10521.956,1730.5714,11033.0,1156.0,10521.247,1731.6747,11029.0,1162.0,10519.999,1732.799,11025.0,1167.0,10519.59,1732.6394,11025.0,1167.0
P015090,CBK290816,11148.82,870.7274,11112.0,566.0,11148.603,864.30566,11111.0,563.0,11147.982,861.7781,11107.0,562.0,11146.876,863.9975,11104.0,562.0,11146.43,866.23865,11103.0,563.0,11145.253,865.92834,11102.0,563.0
P015090,CBK290837,12052.503,1796.3602,12511.0,1325.0,12051.635,1795.2915,12510.0,1325.0,12051.264,1793.9746,12508.0,1322.0,12050.244,1793.6945,12508.0,1318.0,12049.975,1794.105,12511.0,1315.0,12049.032,1794.9666,12510.0,1317.0
P015090,CBK290945,11860.549,1477.8716,11462.0,943.0,11859.642,1475.2908,11460.0,941.0,11858.859,1473.3185,11456.0,940.0,11858.03,1474.0254,11454.0,941.0,11857.286,1475.0404,11454.0,943.0,11856.614,1475.1555,11454.0,943.0
P015090,CBK291020,10267.059,829.5248,10301.0,585.0,10266.067,825.2143,10300.0,582.0,10265.502,822.29126,10296.0,580.0,10264.697,823.6419,10294.0,580.0,10267.302,830.7153,10295.0,583.0,10263.946,826.85565,10294.0,582.0
P015090,CBK291055,11811.815,1585.556,11400.0,969.0,11808.689,1580.4736,11400.0,967.0,11809.191,1572.4972,11401.0,960.0,11810.863,1574.7739,11392.0,968.0,11808.707,1575.8218,11391.0,972.0,11802.607,1577.6035,11390.0,972.0
P015090,CBK303867,11387.341,1225.8263,11437.0,1012.0,11386.605,1222.8097,11437.0,1011.0,11385.336,1220.4331,11438.0,1009.0,11384.627,1220.8425,11437.0,1008.0,11384.128,1222.4419,11436.0,1009.0,11383.243,1222.1714,11436.0,1008.0
P015090,CBK303885,12102.436,1214.5044,12199.0,1012.0,12101.439,1210.9443,12200.0,1013.0,12100.618,1207.2849,12199.0,1009.0,12099.483,1207.9644,12198.0,1006.0,12098.674,1209.634,12197.0,1005.0,12097.674,1210.0212,12197.0,1006.0
P015090,CBK303971,11553.507,1055.2316,11629.0,702.0,11556.125,1051.583,11633.0,702.0,11557.01,1049.6517,11632.0,704.0,11557.535,1051.0012,11631.0,706.0,11556.329,1052.5192,11629.0,706.0,11554.284,1051.7021,11627.0,704.0
P015090,CBK307768,11517.723,753.8869,11419.0,490.0,11515.124,749.54333,11417.0,489.0,11511.062,749.75464,11414.0,490.0,11509.755,751.81055,11412.0,490.0,11508.85,754.04425,11411.0,491.0,11507.717,754.078,11410.0,492.0
P015090,CBK308137,11851.188,1608.5238,11511.0,1182.0,11850.574,1604.9634,11506.0,1178.0,11850.024,1602.9233,11502.0,1178.0,11848.949,1604.3276,11502.0,1181.0,11848.064,1606.085,11503.0,1183.0,11847.382,1606.156,11502.0,1182.0
P015090,CBK308232,11870.532,1129.614,12010.0,906.0,11869.792,1126.1141,12010.0,904.0,11869.192,1122.4119,12009.0,901.0,11868.414,1122.9283,12008.0,900.0,11867.347,1124.4017,12006.0,901.0,11866.587,1124.4028,12006.0,901.0
P015090,CBK308260,11163.719,1088.2487,11198.0,950.0,11162.809,1083.6937,11202.0,950.0,11162.396,1080.6427,11202.0,951.0,11161.438,1081.8271,11196.0,951.0,11161.119,1084.497,11195.0,951.0,11159.946,1085.0049,11193.0,949.0
P015090,CBK308266,10564.158,849.11554,10560.0,631.0,10563.323,847.54944,10560.0,632.0,10562.295,845.05023,10557.0,630.0,10561.596,845.5618,10555.0,629.0,10560.839,846.8298,10555.0,629.0,10560.497,847.49744,10555.0,630.0
P015090,CBK308430,11760.581,988.7505,11757.0,671.0,11759.926,983.2686,11756.0,668.0,11758.848,979.66095,11752.0,664.0,11757.913,981.74786,11749.0,666.0,11757.299,984.4948,11749.0,668.0,11756.24,984.8927,11749.0,668.0
P015090,CBK308482,10957.439,1056.7651,10903.0,741.0,10955.352,1052.9989,10900.0,739.0,10953.481,1050.3855,10896.0,738.0,10951.292,1051.3229,10893.0,739.0,10949.32,1053.0762,10890.0,740.0,10947.528,1053.4314,10888.0,740.0
P015090,CBK308657,13532.901,1610.4873,13349.0,1326.0,13532.003,1606.8832,13347.0,1325.0,13530.624,1604.1855,13344.0,1327.0,13529.976,1604.8314,13342.0,1327.0,13529.103,1606.5251,13341.0,1326.0,13528.362,1606.715,13340.0,1325.0
P015090,CBK308696,11510.573,1543.534,11160.0,1072.0,11509.798,1541.0809,11158.0,1072.0,11509.191,1539.08,11156.0,1073.0,11507.897,1538.2756,11155.0,1072.0,11507.066,1539.1621,11154.0,1072.0,11506.567,1539.3658,11154.0,1072.0
P015090,CBK308923,10435.572,827.92773,10515.0,545.0,10434.621,824.77606,10513.0,544.0,10434.22,822.3209,10512.0,542.0,10432.995,821.83014,10510.0,542.0,10432.211,822.9816,10509.0,543.0,10431.353,823.5938,10508.0,543.0
P015090,CBK309064,11413.908,1031.7927,11427.0,611.0,11412.939,1028.5579,11425.0,610.0,11411.816,1023.5025,11422.0,608.0,11410.982,1020.4976,11419.0,609.0,11409.551,1018.8668,11417.0,610.0,11408.042,1016.1301,11413.0,610.0
P015090,CBK309488,10994.317,1203.4158,11123.0,1006.0,10993.633,1200.3085,11125.0,1004.0,10992.204,1197.2737,11123.0,1002.0,10991.058,1196.9857,11120.0,1001.0,10989.719,1198.2184,11117.0,1002.0,10988.662,1197.828,11116.0,1001.0
P015090,CBK309522,10793.178,1423.6891,10490.0,997.0,10792.027,1421.3167,10488.0,997.0,10791.465,1419.7616,10485.0,994.0,10790.692,1419.6716,10484.0,994.0,10789.814,1420.518,10483.0,995.0,10788.506,1420.418,10481.0,994.0
P015090,CBK309523,11394.486,1746.9757,11304.0,1340.0,11393.72,1744.5013,11302.0,1340.0,11392.588,1742.7712,11300.0,1340.0,11391.978,1743.4279,11300.0,1340.0,11391.188,1744.3928,11300.0,1341.0,11390.479,1744.3207,11299.0,1342.0
P015090,CBK309545,11086.373,1376.6874,10825.0,1098.0,11084.962,1373.8733,10823.0,1098.0,11084.527,1371.5234,10820.0,1097.0,11083.572,1371.565,10818.0,1097.0,11082.854,1372.9991,10817.0,1097.0,11082.244,1373.1708,10817.0,1097.0
P015090,CBK309553,11231.073,1255.0663,11415.0,1005.0,11230.504,1252.879,11417.0,1004.0,11229.637,1250.6293,11416.0,1001.0,11228.754,1251.2476,11414.0,1000.0,11227.779,1253.0021,11412.0,1001.0,11227.399,1253.802,11412.0,1002.0
P015090,dmso,11315.218,1505.739,11324.0,1081.0,11314.15,1502.6544,11324.0,1078.0,11313.338,1499.8645,11324.0,1076.0,11312.145,1500.1238,11320.0,1075.0,11311.111,1501.4456,11318.0,1076.0,11310.367,1502.1053,11316.0,1077.0
P015090,plate,11303.486,1630.501,11157.0,1034.0,11302.485,1627.8716,11156.0,1033.0,11301.671,1625.6714,11154.0,1031.0,11300.952,1626.0336,11153.0,1032.0,11300.171,1627.0468,11152.0,1032.0,11299.147,1627.1315,11151.0,1032.0
P015091,CBK041242,10496.044,1012.48517,10399.0,690.0,10494.902,1007.9359,10398.0,687.0,10494.373,1004.12256,10397.0,686.0,10493.444,1005.44073,10395.0,687.0,10493.051,1008.858,10394.0,689.0,10492.014,1009.9674,10393.0,690.0
P015091,CBK041487,12197.691,1569.6917,11726.0,882.0,12199.203,1564.1407,11723.0,876.0,12198.728,1560.5693,11715.0,873.0,12199.323,1562.0781,11715.0,876.0,12198.466,1564.9775,11718.0,882.0,12198.566,1565.8354,11719.0,883.0
P015091,CBK201016,10546.245,1379.7289,10389.0,1117.0,10544.799,1377.0741,10388.0,1116.0,10545.411,1375.1715,10390.0,1119.0,10545.211,1376.2634,10387.0,1119.0,10542.229,1377.1637,10382.0,1117.0,10540.295,1377.0894,10378.0,1115.0
P015091,CBK261295,11503.5625,866.9389,11487.0,644.0,11502.726,861.9011,11486.0,643.0,11501.802,858.5563,11483.0,642.0,11500.696,859.98425,11481.0,641.0,11499.625,861.564,11480.0,640.0,11498.706,861.56647,11479.0,640.0
P015091,CBK277934,11510.33,1317.3972,11581.0,1070.0,11508.828,1313.565,11580.0,1070.0,11507.632,1311.1381,11578.0,1070.0,11506.413,1311.3032,11576.0,1068.0,11505.045,1312.8342,11576.0,1069.0,11502.541,1312.7445,11572.0,1070.0
P015091,CBK277935,10952.644,966.91504,10997.0,717.0,10950.541,960.6706,10994.0,715.0,10949.02,956.9703,10990.0,713.0,10948.139,958.16846,10987.0,712.0,10943.441,958.6603,10982.0,711.0,10942.64,959.301,10981.0,711.0
P015091,CBK277939,11388.722,1221.1793,11647.0,889.0,11387.426,1217.2974,11646.0,886.0,11386.779,1214.5553,11644.0,883.0,11385.545,1214.7343,11642.0,882.0,11385.081,1216.3197,11641.0,883.0,11384.273,1216.3655,11640.0,884.0
P015091,CBK277957,10333.514,1019.0495,10387.0,740.0,10332.725,1016.2616,10387.0,738.0,10331.667,1014.3599,10385.0,736.0,10334.061,1017.39655,10386.0,739.0,10332.533,1017.8729,10385.0,739.0,10335.06,1020.5985,10387.0,743.0
P015091,CBK277961,11037.555,1413.7538,11271.0,1146.0,11039.019,1411.9807,11272.0,1144.0,11037.059,1409.7803,11271.0,1139.0,11036.071,1410.5898,11271.0,1138.0,11035.434,1411.8411,11271.0,1139.0,11034.897,1411.4697,11270.0,1139.0
P015091,CBK277968,10678.544,823.291,10711.0,557.0,10677.56,816.7124,10708.0,555.0,10675.477,813.7282,10703.0,553.0,10673.586,817.2256,10699.0,555.0,10672.628,820.9319,10698.0,557.0,10671.819,821.5996,10698.0,558.0
P015091,CBK277973,9920.827,789.324,9946.0,588.0,9920.146,786.03143,9945.0,586.0,9919.43,783.066,9943.0,585.0,9918.294,783.2384,9941.0,586.0,9917.438,784.45746,9941.0,586.0,9916.779,784.455,9940.0,586.0
P015091,CBK277990,11378.227,1041.3094,11278.0,692.0,11379.318,1038.8142,11281.0,692.0,11378.161,1038.7064,11278.0,691.0,11377.318,1040.3602,11275.0,691.0,11376.6875,1041.3252,11276.0,694.0,11376.546,1041.0322,11278.0,694.0
P015091,CBK278016,11047.933,1384.183,10674.0,933.0,11047.473,1381.8524,10672.0,931.0,11046.745,1379.9661,10669.0,930.0,11045.703,1380.8301,10667.0,931.0,11044.664,1382.5444,10665.0,932.0,11044.235,1382.6963,10665.0,931.0
P015091,CBK278021,12247.935,1603.8816,12646.0,1283.0,12246.693,1599.6224,12646.0,1277.0,12245.938,1597.1537,12648.0,1270.0,12244.5625,1597.6913,12644.0,1271.0,12244.862,1597.3859,12642.0,1271.0,12243.021,1596.7448,12641.0,1270.0
P015091,CBK278039,11200.02,1488.2959,10853.0,986.0,11198.878,1486.9177,10852.0,986.0,11198.574,1485.705,10851.0,986.0,11197.87,1485.193,10849.0,985.0,11196.246,1486.4854,10847.0,986.0,11195.461,1486.6866,10847.0,986.0
P015091,CBK278047,10640.221,1309.9496,10619.0,1087.0,10640.078,1302.5427,10617.0,1085.0,10637.598,1297.2794,10609.0,1081.0,10632.571,1300.1519,10593.0,1078.0,10628.918,1304.3108,10585.0,1077.0,10629.098,1304.3,10582.0,1075.0
P015091,CBK278050,10511.057,885.81366,10527.0,585.0,10511.038,880.07275,10527.0,582.0,10509.781,876.62775,10523.0,580.0,10509.031,878.5008,10520.0,579.0,10508.45,881.6797,10519.0,581.0,10507.506,882.7985,10518.0,583.0
P015091,CBK278067,12633.846,1995.915,12312.0,1634.0,12632.017,1993.2034,12310.0,1634.0,12636.246,1989.0957,12318.0,1640.0,12638.928,1990.4048,12332.0,1649.0,12635.664,1992.7784,12319.0,1641.0,12634.4375,1993.977,12314.0,1638.0
P015091,CBK278556G,10837.792,1521.5808,10962.0,1224.0,10836.867,1518.0024,10967.0,1223.0,10841.673,1519.6525,10974.0,1231.0,10842.461,1522.1421,10973.0,1235.0,10842.707,1524.2571,10971.0,1236.0,10842.109,1524.7323,10970.0,1237.0
P015091,CBK288302,10748.174,1103.9028,10554.0,734.0,10741.366,1095.3304,10543.0,733.0,10739.102,1091.6357,10538.0,730.0,10738.239,1093.5503,10536.0,731.0,10737.834,1096.319,10536.0,734.0,10738.225,1098.1,10535.0,737.0
P015091,CBK289731,11563.598,1005.8288,11661.0,744.0,11562.226,1002.2845,11660.0,743.0,11561.528,998.1192,11658.0,741.0,11560.526,998.8724,11657.0,741.0,11559.709,1001.7385,11656.0,743.0,11559.231,1002.58356,11656.0,743.0
P015091,CBK289737,10915.008,1843.571,10334.0,1165.0,10912.732,1840.4147,10329.0,1160.0,10911.887,1839.5645,10326.0,1159.0,10909.988,1841.2129,10324.0,1163.0,10907.011,1845.1862,10323.0,1167.0,10905.453,1846.5723,10323.0,1170.0
P015091,CBK289739,11209.725,775.5348,11147.0,534.0,11208.722,767.8711,11146.0,531.0,11207.961,763.84,11145.0,529.0,11207.227,766.1466,11143.0,529.0,11206.202,770.58057,11141.0,529.0,11206.359,772.0727,11142.0,530.0
P015091,CBK289740,9845.758,1667.4087,9834.0,1500.0,9845.146,1666.0271,9834.0,1500.0,9849.131,1671.5792,9832.0,1503.0,9849.789,1672.2871,9828.0,1503.0,9847.658,1666.8365,9827.0,1498.0,9845.097,1665.4985,9827.0,1499.0
P015091,CBK289756,10117.702,1069.4036,10243.0,803.0,10115.676,1066.221,10242.0,801.0,10113.986,1062.6876,10242.0,797.0,10112.836,1062.4073,10241.0,795.0,10111.563,1063.7987,10238.0,796.0,10110.956,1064.285,10237.0,798.0
P015091,CBK289839,11519.366,1268.7043,11810.0,974.0,11523.099,1267.9304,11815.0,975.0,11517.042,1259.5735,11812.0,963.0,11515.11,1261.1593,11806.0,964.0,11515.393,1266.1603,11801.0,969.0,11513.55,1265.2319,11799.0,968.0
P015091,CBK290181,12090.542,1241.2195,11972.0,806.0,12089.652,1237.8075,11972.0,803.0,12088.435,1235.4335,11971.0,802.0,12086.882,1237.2003,11968.0,804.0,12084.143,1240.6549,11964.0,806.0,12082.575,1241.4574,11962.0,807.0
P015091,CBK290285,10396.883,1272.3406,10208.0,838.0,10397.343,1263.045,10206.0,829.0,10394.988,1258.9141,10206.0,829.0,10395.151,1258.5762,10208.0,829.0,10394.18,1262.3363,10207.0,834.0,10391.992,1260.6552,10208.0,835.0
P015091,CBK290479,10005.039,970.9165,9902.0,651.0,10003.544,967.3981,9900.0,650.0,10002.498,964.5361,9900.0,649.0,10000.955,964.4765,9898.0,648.0,9999.017,965.34,9897.0,649.0,9997.712,964.8736,9896.0,649.0
P015091,CBK290481,11236.712,628.56287,11230.0,463.0,11236.09,623.1458,11229.0,462.0,11235.077,619.4237,11225.0,460.0,11237.619,625.5324,11224.0,462.0,11235.116,627.28156,11222.0,461.0,11230.879,623.7356,11221.0,459.0
P015091,CBK290547,11645.951,1585.4518,11449.0,1338.0,11649.418,1588.4436,11448.0,1336.0,11647.474,1586.1406,11447.0,1336.0,11646.348,1586.4619,11448.0,1337.0,11643.255,1585.3353,11447.0,1331.0,11642.085,1585.7583,11447.0,1330.0
