plate,compound,mean_C1,std_C1,median_C1,mad_C1,mean_C2,std_C2,median_C2,mad_C2,mean_C3,std_C3,median_C3,mad_C3,mean_C4,std_C4,median_C4,mad_C4,mean_C5,std_C5,median_C5,mad_C5,mean_C6,std_C6,median_C6,mad_C6
P015083,CBK290538,10966.07,1160.9553,10819.0,852.0,10964.971,1159.2015,10817.0,850.0,10964.064,1158.0812,10814.0,850.0,10963.736,1157.9119,10813.0,850.0,10962.813,1158.937,10812.0,851.0,10961.118,1159.1665,10810.0,850.0
P015083,dmso,11169.379,1299.6488,11381.0,853.0,11167.305,1296.6753,11381.0,850.0,11164.798,1293.2892,11377.0,846.0,11162.931,1295.631,11372.0,847.0,11162.524,1298.8872,11369.0,848.0,11161.62,1299.8187,11367.0,850.0
P015083,plate,11196.536,1169.9553,11326.0,791.0,11194.308,1166.7838,11325.0,788.0,11192.648,1163.8762,11323.0,785.0,11191.443,1165.2455,11320.0,785.0,11191.832,1167.8307,11321.0,786.0,11190.787,1168.5544,11319.0,787.0
P015084,CBK006628,12253.595,2227.9624,11361.0,1137.0,12251.315,2226.9685,11356.0,1132.0,12249.372,2225.7383,11349.0,1128.0,12249.353,2231.4326,11341.0,1125.0,12243.339,2231.3752,11331.0,1122.0,12239.78,2229.599,11330.0,1122.0
P015084,CBK018513,12362.874,881.52057,12465.0,627.0,12361.67,872.57184,12465.0,621.0,12361.629,867.7023,12466.0,619.0,12365.94,874.30237,12470.0,625.0,12366.091,880.02313,12468.0,629.0,12365.352,881.23157,12468.0,630.0
P015084,CBK041779,12627.029,2393.3442,12674.0,2113.0,12632.256,2388.3079,12681.0,2096.0,12632.338,2384.1917,12678.0,2090.0,12628.894,2386.6235,12671.0,2093.0,12627.796,2389.1243,12670.0,2093.0,12626.59,2389.3638,12669.0,2093.0
P015084,CBK200550,13596.61,1121.7515,13641.0,873.0,13596.414,1121.7676,13642.0,874.0,13594.686,1118.305,13641.0,872.0,13594.057,1117.2212,13639.0,870.0,13592.465,1118.8456,13636.0,870.0,13592.999,1115.3737,13633.0,870.0
P015084,CBK200551,12801.126,1777.6064,13050.0,1527.0,12785.102,1772.2502,13019.0,1515.0,12782.403,1768.5546,13019.0,1513.0,12777.017,1763.7015,13012.0,1509.0,12777.689,1764.0826,13014.0,1510.0,12784.408,1761.7214,13033.0,1503.0
P015084,CBK200716,12286.251,1425.5582,12741.0,896.0,12283.604,1420.0979,12740.0,885.0,12286.107,1418.4708,12745.0,875.0,12284.721,1419.6495,12740.0,880.0,12287.68,1421.7069,12735.0,892.0,12281.426,1421.8722,12731.0,888.0
P015084,CBK201011,11852.515,743.42285,11900.0,518.0,11850.808,737.75934,11897.0,515.0,11850.74,731.0726,11894.0,513.0,11851.536,729.43866,11889.0,513.0,11850.815,733.27954,11887.0,515.0,11848.773,735.56604,11885.0,515.0
