plate,compound,mean_C1,std_C1,median_C1,mad_C1,mean_C2,std_C2,median_C2,mad_C2,mean_C3,std_C3,median_C3,mad_C3,mean_C4,std_C4,median_C4,mad_C4,mean_C5,std_C5,median_C5,mad_C5
P015084,CBK277955,283.40714,281.31723,221.0,24.0,1157.8721,1700.1908,511.0,135.0,1314.0676,739.41833,961.0,187.0,968.42773,874.2258,641.0,118.0,564.1244,663.0558,313.0,76.0
P015084,CBK277972,279.07877,270.55695,221.0,24.0,1183.5142,1694.9513,568.0,167.0,1469.8335,820.695,1121.0,233.0,1082.5874,966.7889,746.0,151.0,566.774,674.9905,311.0,71.0
P015084,CBK278064,215.40729,60.101955,213.0,20.0,437.83203,638.2833,407.0,42.0,795.2523,165.63306,789.0,57.0,538.1338,158.77266,530.0,42.0,228.7654,141.45506,221.0,21.0
P015084,CBK288259,253.09846,194.75594,218.0,22.0,934.1687,1498.2762,463.0,70.0,1112.1389,512.3791,944.0,87.0,813.3828,600.2458,623.0,64.0,420.34735,474.3388,267.0,35.0
P015084,CBK288281,282.30103,254.58519,223.0,24.0,1248.0153,1980.1072,496.0,111.0,1308.1614,694.5332,997.0,135.0,961.21466,771.5084,662.0,96.0,528.6986,595.74786,296.0,58.0
P015084,CBK288284,215.64307,51.60889,214.0,20.0,387.041,554.30945,357.0,42.0,848.868,150.30075,845.0,60.0,571.86365,128.67435,566.0,44.0,230.68132,115.244644,224.0,21.0
P015084,CBK288285,249.43503,198.57097,216.0,22.0,836.46045,1626.7384,432.0,62.0,1144.7667,578.7107,979.0,89.0,808.16534,622.3936,641.0,64.0,420.65445,605.2217,259.0,34.0
P015084,CBK288286,275.14664,264.9725,221.0,23.0,1113.7837,1735.3413,487.0,95.0,1249.3191,678.7517,963.0,130.0,898.91534,740.9251,633.0,90.0,514.3135,636.0966,284.0,49.0
P015084,CBK288288,304.55988,299.82733,225.0,26.0,1321.8314,1664.7234,613.0,185.0,1547.8055,793.14246,1151.0,272.0,1160.3538,929.8833,774.0,173.0,624.0516,662.01276,340.0,101.0
P015084,CBK288349,278.87915,273.9986,222.0,23.0,1217.2244,1929.4695,597.0,215.0,1386.6711,784.18024,1081.0,187.0,1020.51996,918.5055,715.0,122.0,551.38257,691.18,309.0,59.0
P015084,CBK290052,295.96222,284.1629,221.0,25.0,1188.201,1559.7904,593.0,190.0,1492.9602,787.69,1113.0,252.0,1155.0616,944.17847,760.0,162.0,636.80457,659.9394,369.0,105.0
P015084,CBK290334,294.5355,273.98422,224.0,26.0,1272.2534,1636.7463,606.0,164.0,1437.8792,749.9637,1071.0,210.0,1051.7462,835.4471,714.0,141.0,574.24475,619.50684,310.0,78.0
P015084,CBK290684,293.0384,265.70093,226.0,25.0,1121.5231,1476.6062,521.0,149.0,1544.8181,774.3425,1205.0,273.0,1137.9893,861.9867,801.0,169.0,591.1358,622.0981,326.0,80.0
P015084,CBK290766,230.80525,145.98853,216.0,21.0,631.51044,1700.4084,376.0,45.0,895.3203,433.25763,833.0,72.0,626.761,454.38034,558.0,51.0,291.27115,345.75195,236.0,24.0
P015084,CBK290770,219.73627,99.355675,212.0,20.0,600.33813,915.46094,490.0,50.0,936.28033,226.91225,910.0,73.0,629.39087,234.6685,602.0,52.0,255.97514,190.87546,232.0,24.0
P015084,CBK290772,295.05725,272.43314,226.0,25.0,1281.7727,1792.485,569.0,186.0,1554.1427,818.7294,1166.0,248.0,1153.6171,929.3719,779.0,159.0,614.0717,700.45197,328.0,86.0
P015084,CBK290801,252.17361,193.70764,217.0,22.0,881.74756,1492.7416,433.0,71.0,1161.7493,651.90015,927.0,89.0,838.4606,699.6973,609.0,66.0,454.90506,554.40924,273.0,39.0
P015084,CBK290829,294.33896,269.51126,224.0,25.0,1177.4712,1515.181,556.0,151.0,1511.4209,812.46533,1090.0,214.0,1151.976,959.2516,740.0,147.0,585.2123,613.03,322.0,84.0
P015084,CBK291084,288.8803,260.92746,225.0,25.0,1336.3466,1726.4634,671.0,218.0,1465.8796,786.2435,1089.0,180.0,1106.6041,931.80835,753.0,141.0,580.4484,620.8887,335.0,80.0
P015084,CBK293886,277.3212,237.8418,222.0,24.0,1118.5479,1592.9391,524.0,121.0,1386.1881,754.299,1062.0,163.0,1024.9935,845.899,702.0,110.0,557.626,661.7931,297.0,59.0
P015084,CBK303888,215.23962,61.032776,213.0,20.0,450.0048,793.1061,410.0,46.0,822.81793,195.60338,808.0,69.0,556.68896,225.02803,543.0,50.0,233.1526,262.23044,221.0,21.0
P015084,CBK308101,235.05984,159.75488,215.0,21.0,768.18005,1497.2842,486.0,88.0,1054.5828,536.12164,948.0,100.0,722.5774,504.4631,626.0,66.0,326.33713,439.51578,244.0,28.0
P015084,CBK308652,291.7124,301.6403,222.0,24.0,1214.521,1684.9634,580.0,183.0,1464.1224,799.4896,1071.0,217.0,1100.3612,989.7488,724.0,138.0,599.7707,693.0644,332.0,88.0
P015084,CBK308709,302.2745,285.0551,225.0,26.0,1367.0029,1754.8868,623.0,194.0,1516.3848,824.55566,1127.0,291.0,1168.765,985.9394,769.0,186.0,632.3466,679.20294,342.0,102.0
P015084,CBK308864,267.75534,224.68018,219.0,23.0,948.7238,1323.0226,454.0,93.0,1207.2488,573.6933,952.0,131.0,856.0589,607.4672,625.0,91.0,469.77213,481.14093,278.0,53.0
P015084,CBK308980,276.5938,241.64708,222.0,24.0,1131.1202,1658.4973,521.0,110.0,1296.2566,716.206,978.0,131.0,998.7037,899.4174,663.0,94.0,516.341,592.9556,296.0,55.0
P015084,CBK309086,308.7767,298.52948,226.0,27.0,1501.9441,1869.0088,682.0,231.0,1598.1234,807.7529,1178.0,279.0,1197.7006,960.8577,790.0,176.0,638.2823,683.76855,343.0,107.0
P015084,CBK309507,232.97108,151.5071,216.0,21.0,735.41187,2070.2695,389.0,45.0,980.6684,595.2016,878.0,84.0,695.54407,593.08234,585.0,58.0,329.10547,478.41647,240.0,25.0
