plate,compound,mean_C1,std_C1,median_C1,mad_C1,mean_C2,std_C2,median_C2,mad_C2,mean_C3,std_C3,median_C3,mad_C3,mean_C4,std_C4,median_C4,mad_C4,mean_C5,std_C5,median_C5,mad_C5
P015090,CBK290573,226.38866,167.84538,210.0,20.0,534.5998,1192.8552,360.0,44.0,755.59424,387.74344,699.0,49.0,529.09436,428.30194,466.0,37.0,290.9338,412.2034,229.0,23.0
P015090,CBK290613,284.1998,254.19626,219.0,25.0,867.2959,1146.5991,418.0,114.0,1226.5406,681.11273,876.0,164.0,869.1878,694.15704,582.0,109.0,555.65936,606.09174,304.0,74.0
P015090,CBK290753,234.21175,162.08907,212.0,21.0,549.8513,871.36725,366.0,46.0,857.0602,358.7571,773.0,62.0,583.0474,336.51462,510.0,46.0,324.8567,376.9081,239.0,27.0
P015090,CBK290760,230.02782,141.72345,214.0,21.0,444.80905,809.9773,310.0,38.0,767.987,314.07193,709.0,53.0,527.81464,312.61185,473.0,40.0,301.77963,324.59125,241.0,25.0
P015090,CBK290799,234.22263,164.66705,212.0,21.0,532.3381,946.6967,344.0,52.0,784.5099,357.91812,706.0,53.0,544.9241,356.45825,469.0,41.0,327.2211,393.45135,240.0,27.0
P015090,CBK290803,231.50009,164.0446,213.0,21.0,495.5564,947.82294,334.0,40.0,787.1622,343.62534,723.0,57.0,545.5849,376.51993,480.0,42.0,323.51212,499.47995,236.0,25.0
P015090,CBK290810,247.0639,183.80421,215.0,22.0,608.1298,946.46106,352.0,54.0,948.6146,463.19977,790.0,77.0,645.49896,436.5626,516.0,56.0,387.41815,428.4025,253.0,34.0
P015090,CBK290816,270.8935,228.62605,218.0,24.0,766.1241,1025.6199,402.0,89.0,1125.9292,634.01483,822.0,124.0,787.96173,626.4331,544.0,87.0,493.21228,543.6295,282.0,56.0
P015090,CBK290837,220.08362,127.52529,210.0,20.0,612.8109,1116.4175,446.0,68.0,674.4137,282.37598,646.0,43.0,469.66315,320.1215,437.0,34.0,254.90433,330.76624,220.0,21.0
P015090,CBK290945,235.52107,178.56177,213.0,21.0,599.4394,1141.5548,373.0,57.0,833.93774,431.86746,738.0,59.0,588.45654,457.43234,491.0,43.0,348.54532,480.6749,247.0,26.0
P015090,CBK291020,249.59196,220.80736,215.0,22.0,678.1055,1376.578,343.0,44.0,912.92224,567.7645,754.0,62.0,668.5692,642.637,501.0,46.0,412.7306,603.7838,258.0,31.0
P015090,CBK291055,228.0498,161.96753,212.0,21.0,615.13367,1298.5427,348.0,75.0,789.6905,438.24298,714.0,71.0,556.15405,505.07727,479.0,48.0,302.09384,455.2097,234.0,24.0
P015090,CBK303867,229.57639,163.65344,212.0,21.0,474.3778,995.7358,300.0,34.0,774.58026,409.19562,699.0,51.0,546.2171,438.6096,467.0,39.0,314.942,423.80908,236.0,24.0
P015090,CBK303885,242.89066,183.72163,213.0,22.0,642.9172,921.78345,388.0,56.0,947.23315,489.1158,783.0,70.0,637.3371,437.85492,509.0,51.0,374.06006,411.64676,250.0,32.0
P015090,CBK303971,236.94751,176.50047,212.0,21.0,652.3701,1021.3087,412.0,51.0,876.7378,431.58932,762.0,66.0,594.4667,417.53473,497.0,47.0,329.86783,365.10657,242.0,28.0
P015090,CBK307768,260.02734,217.09094,213.0,23.0,711.34485,1007.6378,381.0,64.0,1070.4117,542.7628,843.0,101.0,734.39685,501.79282,557.0,71.0,454.15543,469.15024,281.0,47.0
P015090,CBK308137,277.3516,246.8065,219.0,24.0,814.7892,1110.8073,391.0,95.0,1214.9585,680.2046,868.0,163.0,849.1313,691.95807,574.0,109.0,519.2895,558.0559,297.0,71.0
P015090,CBK308232,228.43024,154.3692,209.0,20.0,529.7901,966.239,346.0,50.0,803.98267,353.5614,726.0,67.0,553.8567,348.81262,483.0,48.0,315.76498,360.66046,240.0,26.0
P015090,CBK308260,285.54395,265.29675,218.0,25.0,900.5516,1203.6705,412.0,100.0,1188.7507,673.9677,858.0,156.0,838.8751,666.93713,568.0,105.0,566.41833,646.68146,301.0,70.0
P015090,CBK308266,225.33713,159.74294,210.0,20.0,515.17804,1045.501,364.0,44.0,756.37354,350.7853,705.0,53.0,526.87036,383.59445,471.0,40.0,286.5917,373.99213,231.0,23.0
P015090,CBK308430,273.37503,244.46327,218.0,24.0,790.59106,1029.4344,407.0,90.0,1154.4017,615.073,847.0,133.0,784.6486,581.9228,554.0,91.0,492.71744,523.137,282.0,58.0
P015090,CBK308482,231.19666,180.46863,212.0,21.0,544.9192,1081.2845,351.0,69.0,758.3995,399.9062,684.0,63.0,535.38324,455.73633,459.0,44.0,301.6104,416.41238,232.0,24.0
P015090,CBK308657,228.40988,157.03683,211.0,21.0,477.40707,936.7829,313.0,39.0,813.2566,345.29446,748.0,56.0,565.1424,383.83273,498.0,42.0,308.83206,411.49768,234.0,25.0
P015090,CBK308696,231.56735,158.37677,212.0,21.0,544.728,1005.6853,352.0,45.0,764.57495,352.07504,688.0,56.0,527.70654,355.84988,457.0,41.0,320.81522,384.26984,241.0,27.0
P015090,CBK308923,228.7005,141.89986,212.0,21.0,452.82217,856.4009,304.0,36.0,756.47284,338.81647,693.0,57.0,526.30255,349.75244,463.0,43.0,308.31445,373.40564,238.0,25.0
P015090,CBK309064,291.67606,306.54758,218.0,25.0,756.42377,1075.3363,372.0,76.0,1074.6572,632.7744,779.0,121.0,784.11957,655.8063,534.0,95.0,502.73364,540.80865,298.0,59.0
P015090,CBK309488,234.50298,151.70139,215.0,21.0,472.56625,895.9738,301.0,37.0,805.0306,348.1825,729.0,56.0,551.44025,329.0999,484.0,42.0,313.26236,360.00558,237.0,26.0
P015090,CBK309522,235.19147,164.66179,213.0,21.0,484.35757,929.06146,296.0,39.0,804.31433,384.34464,714.0,60.0,555.2708,385.53506,473.0,44.0,337.64514,411.89102,246.0,28.0
P015090,CBK309523,244.83589,183.96622,214.0,22.0,590.30945,879.5557,344.0,53.0,975.3886,523.9144,788.0,81.0,648.18677,467.14612,512.0,58.0,382.48306,409.4308,260.0,36.0
P015090,CBK309545,236.7572,166.88684,213.0,21.0,553.46674,947.463,347.0,53.0,843.7943,395.84967,742.0,60.0,573.4023,365.30698,489.0,45.0,344.07925,410.73923,246.0,28.0
P015090,CBK309553,229.24683,158.02217,210.0,20.0,683.6333,886.63745,499.0,116.0,930.04645,513.87024,807.0,64.0,629.899,483.77164,527.0,47.0,342.18216,428.68655,245.0,27.0
P015090,dmso,294.50418,332.54364,222.0,25.0,768.32697,958.59973,408.0,123.0,1341.6798,706.6502,986.0,198.0,933.74274,692.80585,650.0,126.0,562.7436,606.5904,310.0,79.0
P015091,CBK041242,276.74225,246.17482,208.0,24.0,763.95197,886.88916,478.0,114.0,1643.8345,893.52783,1180.0,291.0,1155.186,878.0212,779.0,176.0,631.20026,697.18646,334.0,102.0
P015091,CBK041487,288.82596,267.32663,209.0,25.0,953.3643,1097.802,586.0,176.0,1685.9634,899.5556,1407.0,462.0,1215.0828,927.6669,845.0,226.0,689.58234,729.5281,397.0,144.0
P015091,CBK201016,215.96155,161.11816,198.0,19.0,563.71063,967.5689,410.0,46.0,1059.0214,513.91473,970.0,92.0,727.2853,525.40234,638.0,62.0,313.07504,457.79626,233.0,24.0
P015091,CBK261295,210.5284,138.32129,196.0,19.0,538.0227,810.06244,421.0,59.0,873.4498,453.11496,795.0,58.0,608.1579,474.32053,529.0,43.0,299.93335,391.0777,233.0,24.0
P015091,CBK277934,214.1661,150.27939,196.0,19.0,532.5872,1054.5293,372.0,49.0,1004.5198,510.57346,908.0,72.0,692.7813,548.71704,599.0,53.0,329.27386,526.5998,233.0,26.0
P015091,CBK277935,217.81459,158.93724,198.0,19.0,539.81177,969.5127,394.0,52.0,1060.6509,527.60126,959.0,79.0,721.9319,509.4032,627.0,55.0,284.69586,303.7802,231.0,24.0
P015091,CBK277939,216.63417,150.96669,196.0,19.0,629.57526,1026.6602,463.0,56.0,991.8007,515.18604,877.0,77.0,690.87,535.18304,582.0,57.0,332.87534,434.9565,238.0,26.0
P015091,CBK277957,212.1134,148.65958,196.0,19.0,507.6754,1095.5947,373.0,41.0,936.6109,502.8958,862.0,71.0,649.6516,509.94812,573.0,51.0,290.4572,415.034,226.0,22.0
P015091,CBK277961,241.36717,196.85738,202.0,21.0,713.8671,881.8581,467.0,90.0,1371.9786,760.5403,1061.0,171.0,904.41656,664.64325,685.0,107.0,448.16953,562.90857,273.0,46.0
P015091,CBK277968,289.94955,266.27322,210.0,25.0,876.7776,1049.2039,547.0,158.0,1788.3082,953.3634,1507.0,528.0,1264.7513,938.0544,917.0,274.0,691.2452,729.7913,401.0,149.0
P015091,CBK277973,210.47166,138.29796,196.0,19.0,530.80804,819.9017,419.0,55.0,967.2624,466.21414,882.0,89.0,670.6002,501.77805,589.0,63.0,320.6123,527.04645,236.0,25.0
P015091,CBK277990,212.56316,152.08505,197.0,19.0,501.8188,1035.2032,364.0,42.0,949.8603,533.34155,869.0,69.0,660.6924,558.44653,576.0,49.0,296.18106,438.69644,229.0,23.0
P015091,CBK278016,228.21756,176.29349,199.0,20.0,582.6286,982.89465,372.0,53.0,1199.5043,772.9983,944.0,94.0,816.87494,720.882,617.0,66.0,437.99277,674.26917,257.0,32.0
P015091,CBK278021,219.32335,159.90482,198.0,19.0,636.9675,1225.9176,451.0,65.0,1104.4651,565.9019,981.0,94.0,759.33905,566.9578,646.0,65.0,356.55777,540.3626,243.0,28.0
P015091,CBK278039,202.50914,100.99275,195.0,18.0,453.063,573.76807,399.0,43.0,885.7891,298.80933,855.0,62.0,600.7819,301.27994,569.0,46.0,246.72517,174.66098,226.0,22.0
P015091,CBK278047,284.7965,262.5426,208.0,25.0,900.439,1115.0172,529.0,148.0,1596.5979,883.6331,1146.0,313.0,1094.3622,810.1668,742.0,181.0,667.53064,726.8216,349.0,115.0
P015091,CBK278050,274.71017,242.72266,207.0,24.0,798.3361,898.9001,484.0,126.0,1575.7054,842.60876,1138.0,308.0,1092.8257,816.4651,740.0,173.0,616.5694,648.7196,330.0,100.0
P015091,CBK278067,227.41495,165.84119,199.0,20.0,666.1522,1337.8805,402.0,63.0,1137.5848,686.45886,933.0,98.0,807.18823,664.7437,617.0,69.0,413.14023,582.44574,247.0,34.0
P015091,CBK278556G,286.86197,264.24326,209.0,25.0,908.4166,1041.3611,542.0,171.0,1672.614,915.2435,1386.0,477.0,1193.0203,918.2589,830.0,237.0,680.2257,733.25696,385.0,142.0
P015091,CBK288302,300.73795,289.58945,212.0,27.0,879.43463,939.04785,568.0,185.0,1960.4142,974.73004,1802.0,648.0,1360.2076,949.27277,1030.0,305.0,759.2061,777.8115,476.0,199.0
P015091,CBK289731,217.85115,174.17068,198.0,19.0,571.4075,973.63873,419.0,49.0,927.32263,494.7418,843.0,59.0,649.2874,534.86163,560.0,44.0,304.88065,470.39508,225.0,23.0
P015091,CBK289737,276.8068,257.85294,207.0,24.0,838.788,1232.2672,509.0,148.0,1616.1123,890.16583,1179.0,304.0,1118.3273,847.1815,767.0,176.0,642.70044,695.6413,343.0,107.0
P015091,CBK289739,272.66742,243.08595,207.0,24.0,771.1398,969.8385,460.0,110.0,1565.6135,883.2394,1133.0,303.0,1114.0898,890.5568,749.0,175.0,610.6186,672.1802,324.0,90.0
P015091,CBK289740,214.12656,154.32771,197.0,19.0,545.3777,957.26715,411.0,56.0,961.6922,496.51178,883.0,64.0,668.0996,504.8417,588.0,47.0,298.8449,432.01532,229.0,23.0
P015091,CBK289756,215.87355,123.850365,197.0,19.0,540.1553,776.1559,396.0,60.0,1053.9403,424.8058,940.0,80.0,715.4538,395.32947,617.0,58.0,308.21487,278.80832,235.0,27.0
P015091,CBK289839,286.05154,261.56357,208.0,25.0,917.5482,1135.3784,585.0,170.0,1870.0082,942.39233,1585.0,493.0,1355.1619,993.7458,987.0,261.0,697.9004,767.49115,417.0,148.0
P015091,CBK290181,262.2462,233.84372,203.0,22.0,800.05884,999.2864,497.0,132.0,1527.8275,943.5393,1020.0,166.0,1077.4879,891.7814,687.0,117.0,597.0423,660.3766,310.0,65.0
P015091,CBK290285,285.32065,263.21725,209.0,25.0,906.3779,1017.0315,543.0,170.0,1757.1075,934.63336,1417.0,453.0,1278.4338,976.879,930.0,273.0,678.8029,712.195,395.0,140.0
P015091,CBK290479,214.88695,163.11313,197.0,19.0,611.1479,1035.784,453.0,51.0,974.12415,531.84015,859.0,101.0,680.1915,578.9118,575.0,69.0,309.51224,456.00925,235.0,24.0
P015091,CBK290481,214.55891,158.0254,197.0,19.0,519.10876,975.57294,374.0,44.0,912.27356,519.9929,820.0,73.0,636.9242,542.2649,545.0,52.0,307.72284,464.96585,231.0,23.0
P015091,CBK290547,262.5266,225.40892,204.0,23.0,859.9235,1194.2164,495.0,124.0,1523.0311,886.13525,1106.0,239.0,1070.1417,843.9698,723.0,146.0,604.08167,682.40173,305.0,81.0
P015091,CBK290573,210.77724,149.82922,196.0,19.0,599.1083,1422.3728,404.0,63.0,903.75977,521.8066,823.0,57.0,634.86945,543.5926,551.0,43.0,297.0841,423.361,231.0,23.0
P015091,CBK290613,275.12057,248.95139,206.0,24.0,818.8822,976.38446,506.0,128.0,1685.3665,940.32306,1218.0,326.0,1235.8308,979.7574,827.0,196.0,661.7442,712.1756,353.0,105.0
P015091,CBK290753,221.85141,159.72495,199.0,20.0,555.02405,831.65686,401.0,53.0,1109.5084,502.58298,986.0,85.0,749.6795,473.6702,645.0,61.0,352.97885,475.30542,242.0,28.0
P015091,CBK290760,219.81262,160.56223,198.0,19.0,540.7628,902.61237,374.0,44.0,999.2676,504.89746,887.0,71.0,698.99805,540.8694,589.0,53.0,345.8446,480.57745,241.0,27.0
P015091,CBK290799,215.1734,146.37393,197.0,19.0,560.1707,883.5426,405.0,50.0,954.8081,479.43277,853.0,67.0,665.4887,520.4211,565.0,50.0,336.32742,455.54654,241.0,27.0
P015091,CBK290803,214.47002,155.10143,196.0,19.0,572.1817,971.8626,416.0,45.0,993.9828,539.26373,891.0,74.0,707.2402,691.561,592.0,53.0,349.04315,604.1842,239.0,26.0
P015091,CBK290810,240.68483,187.56999,201.0,21.0,698.4103,906.442,432.0,75.0,1406.0254,759.5032,1104.0,173.0,956.81757,688.95966,718.0,110.0,490.57806,584.5493,277.0,48.0
P015091,CBK290816,268.8343,228.64651,206.0,23.0,827.1989,1076.1389,508.0,133.0,1620.3617,896.82306,1210.0,307.0,1101.9182,843.73804,781.0,171.0,614.7014,643.4479,342.0,106.0
P015091,CBK290837,208.30318,143.77141,195.0,18.0,802.9964,1938.1246,502.0,58.0,943.3835,511.10736,870.0,70.0,659.10364,548.1779,581.0,51.0,284.18805,478.3569,221.0,22.0
P015091,CBK290945,229.67516,196.42542,198.0,20.0,746.0313,1233.411,472.0,71.0,1102.986,700.27216,899.0,81.0,797.38354,751.63806,596.0,58.0,421.02505,626.35,255.0,31.0
P015091,CBK291020,225.04547,188.98033,199.0,20.0,722.148,1142.132,506.0,115.0,1109.6517,647.5633,936.0,119.0,790.6723,726.95026,621.0,81.0,380.21564,568.03345,253.0,30.0
P015091,CBK291055,213.89937,156.77406,197.0,19.0,559.0547,1194.0176,384.0,44.0,957.8598,556.4178,870.0,63.0,665.9213,555.5369,576.0,47.0,307.26556,482.81693,227.0,23.0
P015091,CBK303867,212.98322,136.84192,198.0,19.0,623.9719,1034.673,429.0,100.0,1130.1765,700.83185,1014.0,101.0,833.4778,1067.8533,677.0,70.0,323.35272,497.98566,233.0,24.0
P015091,CBK303885,252.61691,211.18242,204.0,22.0,790.87,965.9698,483.0,103.0,1441.0922,826.89575,1035.0,183.0,985.7228,767.269,679.0,123.0,515.31116,555.4156,282.0,59.0
P015091,CBK303971,240.5098,318.57315,201.0,20.0,709.25415,972.88025,462.0,78.0,1296.4899,750.1583,1044.0,119.0,904.58514,779.69366,683.0,83.0,406.04065,482.00082,264.0,39.0
P015091,CBK307768,254.158,217.89426,201.0,22.0,713.9249,959.3022,425.0,87.0,1452.9712,777.43414,1073.0,179.0,1048.3422,806.1077,723.0,122.0,543.69653,580.1468,305.0,66.0
P015091,CBK308137,270.70053,243.22478,206.0,23.0,882.8274,989.3931,553.0,164.0,1655.3667,859.52264,1318.0,404.0,1137.6946,861.2628,796.0,197.0,604.1683,637.31085,349.0,112.0
P015091,CBK308232,212.93066,141.49838,196.0,19.0,556.3103,885.9036,411.0,50.0,1051.2701,473.25354,957.0,89.0,718.5371,478.70105,630.0,61.0,324.5917,440.1254,238.0,26.0
P015091,CBK308260,291.17648,274.11108,209.0,25.0,888.7008,978.30023,543.0,173.0,1656.1644,895.3689,1396.0,476.0,1190.6936,913.61096,829.0,230.0,706.5129,754.4753,406.0,152.0
P015091,CBK308266,212.90811,155.58954,197.0,19.0,517.3016,880.00195,389.0,47.0,964.80536,453.1523,895.0,70.0,665.05206,472.21643,592.0,51.0,297.00412,410.86108,231.0,23.0
P015091,CBK308430,272.82022,252.15117,206.0,23.0,912.33307,1123.5599,586.0,151.0,1644.7949,865.8726,1237.0,365.0,1123.9548,843.3698,780.0,192.0,610.37494,612.97974,350.0,109.0
P015091,CBK308482,215.73662,164.20195,197.0,19.0,527.4328,904.6103,384.0,43.0,1031.9922,528.44214,940.0,83.0,716.3019,550.88965,622.0,58.0,311.24814,435.1264,234.0,24.0
P015091,CBK308657,218.57173,159.87993,197.0,19.0,540.1503,916.5466,370.0,43.0,1026.7994,498.0766,925.0,97.0,714.0448,530.00726,611.0,66.0,345.93634,502.60776,238.0,27.0
P015091,CBK308696,223.98581,173.28145,198.0,20.0,615.0915,975.7897,415.0,53.0,1121.0516,573.5344,973.0,94.0,767.7297,560.861,639.0,66.0,390.96622,563.97455,254.0,31.0
P015091,CBK308923,219.96613,161.12476,199.0,19.0,577.16064,990.0257,400.0,48.0,1130.567,506.4735,1010.0,140.0,767.0158,497.69766,664.0,93.0,343.85468,495.0927,240.0,27.0
P015091,CBK309064,257.03036,213.2802,203.0,22.0,846.0488,970.3895,511.0,148.0,1613.0142,934.3662,1175.0,326.0,1286.2933,1285.7783,813.0,224.0,632.4551,664.298,363.0,102.0
P015091,CBK309488,221.8796,158.24406,200.0,20.0,533.67804,878.8186,371.0,49.0,1066.45,572.78,931.0,79.0,736.4069,562.4029,615.0,57.0,353.74222,474.74612,244.0,29.0
P015091,CBK309522,226.81775,182.06989,200.0,20.0,587.37915,869.9408,411.0,54.0,1134.2053,563.45197,992.0,99.0,772.27264,542.40826,650.0,69.0,378.546,534.18555,248.0,30.0
P015091,CBK309523,259.8458,227.83057,205.0,23.0,770.3069,982.59845,473.0,110.0,1606.6776,864.29987,1173.0,263.0,1049.93,767.829,754.0,151.0,534.5815,561.92993,311.0,82.0
P015091,CBK309545,224.48856,153.02159,200.0,20.0,654.00104,1250.1034,414.0,60.0,1242.0881,891.9159,1022.0,120.0,928.1715,1070.31,684.0,83.0,407.16458,576.3449,256.0,33.0
P015091,CBK309553,217.94057,145.1979,198.0,19.0,639.73944,940.53156,465.0,113.0,1383.6567,834.85315,1112.0,165.0,932.8279,762.84576,727.0,114.0,379.09998,526.0384,259.0,35.0
P015091,dmso,295.6359,275.0776,213.0,26.0,822.08905,893.8343,554.0,178.0,1936.2264,961.36035,1702.0,572.0,1386.0237,986.4684,1034.0,301.0,716.7659,729.0315,436.0,173.0
P015092,CBK288327,246.40877,194.47807,213.0,22.0,905.7724,1060.8796,612.0,105.0,1070.0116,721.72723,804.0,77.0,748.11847,693.8622,528.0,59.0,444.3871,583.1434,259.0,35.0
P015092,CBK288347,207.02597,44.712723,206.0,19.0,390.49884,396.3517,379.0,59.0,599.3487,134.83795,594.0,41.0,415.4445,115.03026,410.0,32.0,218.30276,105.053474,213.0,20.0
P015092,CBK288351,239.77025,173.01624,213.0,21.0,901.7853,1515.4017,568.0,126.0,944.0404,676.6071,767.0,111.0,674.3787,626.1166,516.0,75.0,369.61243,485.7847,255.0,34.0
P015092,CBK289978,284.1313,248.38939,222.0,25.0,1336.6965,1330.9904,781.0,224.0,1287.1719,700.93335,947.0,190.0,906.83246,703.4552,625.0,119.0,543.3478,597.1342,302.0,71.0
P015092,CBK290154,288.05658,262.63083,220.0,25.0,1087.5636,1092.5052,662.0,163.0,1321.2487,708.56036,949.0,207.0,947.8013,746.9948,635.0,134.0,567.6148,603.4374,314.0,86.0
P015092,CBK290608,279.98404,244.73285,219.0,24.0,1120.3718,1062.2213,758.0,144.0,1219.3982,639.1105,907.0,155.0,844.2751,621.0207,596.0,105.0,528.3827,613.50507,292.0,68.0
P015092,CBK290717,281.96478,256.817,218.0,24.0,1176.3357,1153.5386,751.0,141.0,1207.6669,651.0615,897.0,174.0,849.14386,654.5126,591.0,111.0,531.75726,589.0953,295.0,67.0
P015092,CBK290852,255.86742,202.98701,218.0,23.0,900.8344,1094.7872,587.0,88.0,913.335,500.33804,747.0,80.0,644.59186,473.86813,494.0,57.0,398.0454,442.4527,257.0,36.0
P015092,CBK290877,271.7269,230.35168,218.0,24.0,1040.2688,1083.2382,656.0,108.0,1110.5568,574.8328,855.0,115.0,768.448,547.2416,560.0,80.0,463.35034,494.6193,277.0,49.0
P015092,CBK293875,281.20618,256.6306,217.0,24.0,941.05554,1036.4298,536.0,131.0,1294.306,755.63043,907.0,169.0,926.19556,762.5644,609.0,121.0,564.4617,624.627,305.0,74.0
P015092,CBK293908,274.23123,230.23387,219.0,24.0,1119.4557,1071.3225,752.0,146.0,1234.3992,678.71674,909.0,152.0,889.2919,718.4425,606.0,105.0,498.30652,531.621,291.0,60.0
P015092,CBK303909,272.84497,227.18959,216.0,24.0,1122.4392,1122.7654,742.0,159.0,1233.5486,684.9609,876.0,167.0,877.13116,686.3822,590.0,114.0,545.1486,581.5754,307.0,74.0
P015092,CBK308126,265.413,254.76619,215.0,23.0,965.9501,1279.2523,600.0,95.0,986.9781,581.4758,806.0,77.0,734.8421,673.4598,537.0,60.0,537.46924,833.2891,270.0,36.0
P015092,CBK309059,288.20673,266.75513,220.0,25.0,1121.1152,1080.9285,714.0,173.0,1307.667,721.4526,948.0,216.0,922.45856,724.3532,628.0,137.0,563.15283,606.9581,314.0,81.0
P015092,CBK309070,279.78024,246.33992,220.0,25.0,1015.7374,1039.8401,659.0,139.0,1174.7642,643.3011,865.0,138.0,825.0656,643.5017,572.0,95.0,513.26385,569.8998,290.0,62.0
P015092,CBK309133,230.99808,167.38643,211.0,21.0,738.9295,1074.3234,571.0,66.0,763.4572,384.82242,697.0,56.0,533.168,404.37878,465.0,41.0,289.1581,392.93137,226.0,23.0
P015092,dmso,282.35144,249.44229,221.0,25.0,1055.6089,1022.6033,713.0,150.0,1323.7537,691.982,990.0,167.0,946.6083,721.2006,657.0,112.0,530.41376,589.75476,292.0,66.0
P015093,CBK288327,231.27802,185.08377,197.0,20.0,1016.66425,804.37103,808.0,101.0,1355.2976,846.7738,1034.0,129.0,925.00397,777.57776,676.0,89.0,485.7954,651.0798,269.0,41.0
P015093,CBK288347,194.55843,58.297226,192.0,18.0,443.52524,405.7154,419.0,72.0,818.9,233.57063,802.0,66.0,558.4664,201.09181,544.0,47.0,228.61935,214.86792,214.0,20.0
P015093,CBK288351,233.46999,179.72466,198.0,20.0,856.8093,1134.9838,566.0,83.0,1259.3739,818.76025,1000.0,101.0,891.09296,738.558,661.0,72.0,440.25217,567.88086,262.0,35.0
P015093,CBK289978,301.5188,281.6438,212.0,28.0,1571.1813,1535.8097,964.0,240.0,1925.6505,978.7939,1753.0,638.0,1367.1664,989.2622,1020.0,315.0,746.0056,814.0576,461.0,192.0
P015093,CBK290154,264.31226,234.05276,202.0,23.0,1057.1732,947.0642,768.0,141.0,1608.0518,893.0889,1191.0,310.0,1127.5742,862.74445,778.0,177.0,603.20575,656.2422,326.0,86.0
P015093,CBK290608,280.47675,252.70999,206.0,25.0,1227.7164,943.14197,940.0,157.0,1767.4313,894.4403,1415.0,420.0,1194.5785,816.8944,885.0,226.0,650.59686,719.12085,360.0,120.0
P015093,CBK290717,292.29733,275.27866,207.0,26.0,1203.6033,948.3153,884.0,182.0,1744.4935,906.97943,1548.0,551.0,1230.0286,903.8368,905.0,268.0,712.89667,746.34564,438.0,176.0
P015093,CBK290852,247.92502,202.8904,202.0,22.0,956.68506,851.7666,703.0,110.0,1318.2823,665.9371,1039.0,151.0,891.02734,594.89453,673.0,98.0,480.58902,508.54672,284.0,54.0
P015093,CBK290877,273.40222,245.47122,205.0,24.0,1091.8524,880.73615,833.0,152.0,1498.1517,776.9566,1092.0,234.0,1043.9087,746.8691,721.0,149.0,572.9314,586.294,314.0,84.0
P015093,CBK293875,287.70468,271.6178,206.0,25.0,972.90875,870.77167,649.0,169.0,1746.4255,910.24115,1494.0,518.0,1189.0477,839.01074,861.0,238.0,690.4709,729.41486,398.0,154.0
P015093,CBK293908,287.43866,258.00632,207.0,25.0,1313.6141,1013.7444,993.0,202.0,1892.4927,937.1493,1691.0,595.0,1339.7317,965.43884,1005.0,304.0,691.0321,672.5687,445.0,169.0
P015093,CBK303909,275.86902,240.09149,205.0,24.0,1145.4487,907.8587,866.0,175.0,1723.2563,870.1458,1527.0,534.0,1183.7261,836.8404,879.0,243.0,669.9526,687.25946,413.0,150.0
P015093,CBK308126,242.22241,217.70435,198.0,21.0,931.0328,850.86584,697.0,78.0,1281.8875,737.7223,1048.0,95.0,915.5415,772.9785,688.0,69.0,562.667,858.6522,275.0,36.0
P015093,CBK309059,306.04575,291.86627,209.0,27.0,1310.4745,1024.2362,970.0,220.0,1906.4587,953.39496,1802.0,712.0,1329.6232,948.7994,1022.0,346.0,780.85614,779.1338,499.0,220.0
P015093,CBK309070,275.01187,251.17764,205.0,24.0,1100.8512,912.6362,825.0,149.0,1650.1752,873.9632,1251.0,344.0,1166.1765,868.91846,835.0,205.0,631.3059,676.92017,350.0,109.0
P015093,CBK309133,229.09148,180.94608,197.0,20.0,915.54205,988.0744,702.0,85.0,1100.4127,603.54944,926.0,76.0,764.537,597.3271,606.0,56.0,377.01688,501.50366,247.0,30.0
P015093,dmso,271.96704,239.50058,206.0,24.0,1108.4653,862.3981,859.0,150.0,1834.9681,973.7976,1389.0,344.0,1369.7678,1176.3341,938.0,212.0,630.7405,685.22626,337.0,100.0
P015094,CBK041804,268.19354,235.4695,211.0,23.0,1022.5043,1060.3563,641.0,127.0,1210.7101,662.87506,889.0,144.0,829.7037,632.50244,586.0,99.0,514.7113,562.5677,292.0,63.0
P015094,CBK277926,256.57574,209.67477,210.0,22.0,976.38983,987.99475,656.0,118.0,1170.4309,625.5578,888.0,115.0,806.7334,601.5679,587.0,81.0,488.9537,546.0133,286.0,52.0
P015094,CBK277950,256.2984,196.48521,214.0,23.0,1077.9026,1170.5222,665.0,128.0,1171.6073,657.12524,875.0,122.0,804.54395,617.7836,577.0,85.0,515.7638,621.9056,281.0,55.0
P015094,CBK277970,267.67554,231.76617,209.0,23.0,1144.074,1143.9159,712.0,152.0,1229.0011,670.4792,888.0,167.0,845.7235,651.62994,590.0,114.0,522.08655,559.85223,298.0,73.0
P015094,CBK278031,246.18544,189.02647,207.0,22.0,1083.3425,1266.2651,638.0,133.0,1189.193,689.8649,887.0,168.0,821.53754,667.8778,584.0,111.0,544.37915,711.48004,286.0,61.0
P015094,CBK278729,287.05185,294.02145,213.0,25.0,1216.6133,1196.1215,797.0,233.0,1367.1421,762.5595,1028.0,266.0,987.2504,798.8,703.0,180.0,595.1876,625.2633,347.0,104.0
P015094,CBK289918H,274.49557,241.38272,215.0,24.0,1001.2001,945.6782,662.0,135.0,1267.0178,701.9194,913.0,152.0,860.42084,642.98236,600.0,105.0,532.2086,590.04333,293.0,64.0
