,P015076,P015076,P015076,P015076,P015076,P015077,P015077,P015077,P015077,P015077,P015078,P015078,P015078,P015078,P015078,P015079,P015079,P015079,P015079,P015079,P015080,P015080,P015080,P015080,P015080,P015081,P015081,P015081,P015081,P015081,P015082,P015082,P015082,P015082,P015082,P015083,P015083,P015083,P015083,P015083,P015084,P015084,P015084,P015084,P015084,P015085,P015085,P015085,P015085,P015085,P015086,P015086,P015086,P015086,P015086,P015087,P015087,P015087,P015087,P015087,P015088,P015088,P015088,P015088,P015088,P015089,P015089,P015089,P015089,P015089,P015090,P015090,P015090,P015090,P015090,P015091,P015091,P015091,P015091,P015091,P015092,P015092,P015092,P015092,P015092,P015093,P015093,P015093,P015093,P015093,P015094,P015094,P015094,P015094,P015094,P015095,P015095,P015095,P015095,P015095,P015096,P015096,P015096,P015096,P015096,P015097,P015097,P015097,P015097,P015097,P015098,P015098,P015098,P015098,P015098,P015099,P015099,P015099,P015099,P015099
,C1,C2,C3,C4,C5,C1,C2,C3,C4,C5,C1,C2,C3,C4,C5,C1,C2,C3,C4,C5,C1,C2,C3,C4,C5,C1,C2,C3,C4,C5,C1,C2,C3,C4,C5,C1,C2,C3,C4,C5,C1,C2,C3,C4,C5,C1,C2,C3,C4,C5,C1,C2,C3,C4,C5,C1,C2,C3,C4,C5,C1,C2,C3,C4,C5,C1,C2,C3,C4,C5,C1,C2,C3,C4,C5,C1,C2,C3,C4,C5,C1,C2,C3,C4,C5,C1,C2,C3,C4,C5,C1,C2,C3,C4,C5,C1,C2,C3,C4,C5,C1,C2,C3,C4,C5,C1,C2,C3,C4,C5,C1,C2,C3,C4,C5,C1,C2,C3,C4,C5
median,222.0,630.0,1375.0,947.0,381.0,223.0,877.0,2051.0,1230.0,550.0,219.0,728.0,1427.0,979.0,400.0,208.0,890.0,1933.0,1177.0,511.0,211.0,794.0,1326.0,889.0,353.0,208.0,746.0,1786.0,1053.0,453.0,219.0,721.0,1353.0,902.0,352.0,207.0,785.0,1840.0,1086.0,456.0,229.0,655.0,1289.0,856.0,349.0,210.0,702.0,1761.0,1040.0,447.0,229.0,566.0,1252.0,833.0,363.0,215.0,727.0,1775.0,1056.0,473.0,220.0,707.0,1038.0,692.0,311.0,218.0,560.0,1986.0,1169.0,527.0,222.0,410.0,999.0,661.0,312.0,212.0,540.0,1666.0,1004.0,417.0,222.0,706.0,1025.0,684.0,300.0,208.0,888.0,1651.0,1019.0,392.0,214.0,683.0,1047.0,694.0,291.0,213.0,582.0,1610.0,961.0,384.0,207.0,1108.0,1129.0,749.0,312.0,205.0,1442.0,1434.0,877.0,361.0,213.0,1089.0,1086.0,722.0,305.0,213.0,879.0,1674.0,967.0,419.0
mad,26.0,208.0,353.0,224.0,125.0,30.0,286.0,718.0,407.0,248.0,26.0,251.0,410.0,266.0,142.0,26.0,297.0,665.0,369.0,218.0,24.0,225.0,337.0,211.0,115.0,25.0,252.0,565.0,277.0,174.0,26.0,227.0,340.0,208.0,111.0,25.0,276.0,572.0,277.0,174.0,27.0,247.0,327.0,199.0,109.0,25.0,272.0,553.0,270.0,169.0,27.0,231.0,331.0,197.0,118.0,26.0,329.0,580.0,297.0,188.0,25.0,196.0,217.0,138.0,83.0,29.0,206.0,710.0,376.0,239.0,25.0,127.0,208.0,133.0,82.0,26.0,164.0,550.0,281.0,159.0,25.0,149.0,191.0,126.0,72.0,25.0,159.0,523.0,276.0,141.0,24.0,147.0,179.0,118.0,63.0,26.0,159.0,488.0,237.0,136.0,23.0,420.0,234.0,151.0,81.0,24.0,259.0,438.0,221.0,123.0,24.0,350.0,224.0,141.0,80.0,26.0,191.0,587.0,277.0,163.0
