,P015076,P015076,P015076,P015076,P015076,P015076,P015077,P015077,P015077,P015077,P015077,P015077,P015080,P015080,P015080,P015080,P015080,P015080,P015081,P015081,P015081,P015081,P015081,P015081,P015082,P015082,P015082,P015082,P015082,P015082,P015083,P015083,P015083,P015083,P015083,P015083,P015084,P015084,P015084,P015084,P015084,P015084,P015085,P015085,P015085,P015085,P015085,P015085,P015090,P015090,P015090,P015090,P015090,P015090,P015091,P015091,P015091,P015091,P015091,P015091,P015092,P015092,P015092,P015092,P015092,P015092,P015093,P015093,P015093,P015093,P015093,P015093,P015094,P015094,P015094,P015094,P015094,P015094,P015095,P015095,P015095,P015095,P015095,P015095,P015096,P015096,P015096,P015096,P015096,P015096,P015097,P015097,P015097,P015097,P015097,P015097,P015098,P015098,P015098,P015098,P015098,P015098,P015099,P015099,P015099,P015099,P015099,P015099
,C1,C2,C3,C4,C5,C6,C1,C2,C3,C4,C5,C6,C1,C2,C3,C4,C5,C6,C1,C2,C3,C4,C5,C6,C1,C2,C3,C4,C5,C6,C1,C2,C3,C4,C5,C6,C1,C2,C3,C4,C5,C6,C1,C2,C3,C4,C5,C6,C1,C2,C3,C4,C5,C6,C1,C2,C3,C4,C5,C6,C1,C2,C3,C4,C5,C6,C1,C2,C3,C4,C5,C6,C1,C2,C3,C4,C5,C6,C1,C2,C3,C4,C5,C6,C1,C2,C3,C4,C5,C6,C1,C2,C3,C4,C5,C6,C1,C2,C3,C4,C5,C6,C1,C2,C3,C4,C5,C6
median,11618.0,11617.0,11612.0,11605.0,11601.0,11602.0,9953.0,9953.0,9951.0,9948.0,9947.0,9947.0,8989.0,8986.0,8983.0,8980.0,8978.0,8978.0,10375.0,10368.0,10360.0,10352.0,10347.0,10345.0,10984.0,10983.0,10982.0,10979.0,10976.0,10974.0,11487.0,11485.0,11476.0,11466.0,11459.0,11456.0,11543.0,11544.0,11542.0,11540.0,11538.0,11538.0,10884.0,10887.0,10859.0,10836.0,10838.0,10835.0,9782.0,9783.0,9782.0,9780.0,9777.0,9776.0,11759.0,11757.0,11754.0,11753.0,11753.0,11753.0,15159.0,15140.0,15112.0,15109.0,15099.0,15079.0,8591.0,8590.0,8586.0,8582.0,8580.0,8578.0,9732.0,9729.0,9727.0,9726.0,9726.0,9726.0,11423.0,11420.0,11413.0,11411.0,11412.0,11412.0,11777.0,11776.0,11771.0,11767.0,11766.0,11767.0,10149.0,10147.0,10143.0,10139.0,10138.0,10137.0,12488.0,12486.0,12483.0,12480.0,12478.0,12477.0,12861.0,12863.0,12859.0,12850.0,12846.0,12847.0
mad,570.0,564.0,561.0,562.0,564.0,565.0,478.0,475.0,477.0,478.0,477.0,475.0,447.0,447.0,446.0,445.0,446.0,446.0,614.0,606.0,602.0,605.0,608.0,609.0,487.0,485.0,485.0,485.0,485.0,485.0,783.0,775.0,772.0,774.0,779.0,780.0,435.0,433.0,431.0,430.0,431.0,431.0,707.0,706.0,699.0,695.0,694.0,696.0,484.0,483.0,481.0,480.0,479.0,479.0,540.0,537.0,537.0,538.0,538.0,538.0,570.0,570.0,570.0,574.0,582.0,584.0,400.0,399.0,396.0,396.0,398.0,399.0,519.0,518.0,517.0,517.0,517.0,517.0,427.0,421.0,417.0,421.0,425.0,425.0,584.0,578.0,577.0,580.0,582.0,581.0,470.0,468.0,467.0,468.0,470.0,470.0,420.0,413.0,411.0,414.0,415.0,415.0,327.0,321.0,315.0,317.0,322.0,325.0
